subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	3	10	1	4107133	457	129	810	335	408	20
1	3	10	2	4107182	457	52	810	335	452	20
1	3	10	3	4107223	507	111	810	335	376	20
1	3	10	4	4107263	457	155	810	335	396	20
1	3	10	5	4107304	533	113	810	335	354	20
1	3	10	6	4107344	585	98	810	335	326	20
1	3	10	7	4107385	542	118	810	335	344	20
1	3	10	8	4107429	560	-10	810	335	426	20
1	3	10	9	4107469	735	197	810	335	157	20
1	3	10	10	4107511	812	206	810	335	129	20
1	3	10	11	4107552	807	393	810	335	58	20
1	3	10	12	4107594	764	382	810	335	65	20
1	3	10	13	4107636	842	478	810	335	146	20
1	3	10	14	4107687	790	398	810	335	66	20
1	3	10	15	4107728	754	386	810	335	75	20
1	3	10	16	4107768	864	393	810	335	79	20
1	3	10	17	4107816	826	446	810	335	112	20
1	3	10	18	4107860	813	398	810	335	63	20
1	3	10	19	4107902	887	303	810	335	83	20
1	3	10	20	4107957	845	329	810	335	35	19
1	3	10	21	4107998	862	355	810	335	55	19
1	3	10	22	4108039	791	320	810	335	24	19
1	3	10	23	4108080	829	455	810	335	121	19
1	3	10	24	4108137	774	436	810	335	107	18
1	3	10	25	4108183	756	415	810	335	96	18
1	3	10	26	4108226	774	316	810	335	40	18
1	3	10	27	4108267	795	293	810	335	44	18
1	3	10	28	4108319	798	347	810	335	16	17
1	3	10	29	4108363	829	255	810	335	82	17
1	3	10	30	4108405	867	305	810	335	64	17
1	3	10	31	4108445	840	270	810	335	71	17
1	3	10	32	4108499	871	394	810	335	84	16
1	3	10	33	4108541	796	254	810	335	82	16
1	3	10	34	4108583	873	451	810	335	132	16
1	3	10	35	4108633	865	286	810	335	73	16
1	3	10	36	4108698	857	389	810	335	71	15
1	3	10	37	4108749	851	329	810	335	41	15
1	3	10	38	4108790	808	388	810	335	53	15
1	3	10	39	4108843	883	190	810	335	162	14
1	3	10	40	4108885	845	329	810	335	35	14
1	3	10	41	4108927	636	612	810	335	327	14
1	3	10	42	4108967	356	490	810	335	479	14
1	3	10	43	4109020	758	406	810	335	88	13
1	3	10	44	4109062	708	304	810	335	106	13
1	3	10	45	4109102	772	507	810	335	176	13
1	3	10	46	4109144	803	496	810	335	161	13
1	3	10	47	4109201	387	458	810	335	440	12
1	3	10	48	4109251	727	384	810	335	96	12
1	3	10	49	4109294	833	298	810	335	43	12
1	3	10	50	4109335	739	315	810	335	73	12
1	3	10	51	4109389	752	400	810	335	87	11
1	3	10	52	4109432	816	356	810	335	21	11
1	3	10	53	4109474	844	385	810	335	60	11
1	3	10	54	4109515	889	398	810	335	101	11
1	3	10	55	4109570	823	358	810	335	26	10
1	3	10	56	4109611	857	349	810	335	49	10
1	3	10	57	4109654	828	323	810	335	21	10
1	3	10	58	4109696	823	320	810	335	19	10
1	3	10	59	4109749	745	377	810	335	77	9
1	3	10	60	4109791	849	304	810	335	49	9
1	3	10	61	4109831	830	355	810	335	28	9
1	3	10	62	4109873	887	380	810	335	89	9
1	3	10	63	4109927	832	340	810	335	22	8
1	3	10	64	4109969	826	358	810	335	28	8
1	3	10	65	4110015	874	327	810	335	64	8
1	3	10	66	4110057	890	329	810	335	80	8
1	3	10	67	4110111	866	318	810	335	58	7
1	3	10	68	4110153	840	264	810	335	77	7
1	3	10	69	4110194	819	271	810	335	64	7
1	3	10	70	4110236	801	368	810	335	34	7
1	3	10	71	4110289	868	285	810	335	76	6
1	3	10	72	4110332	798	300	810	335	37	6
1	3	10	73	4110373	809	401	810	335	66	6
1	3	10	74	4110414	743	391	810	335	87	6
1	3	10	75	4110469	822	346	810	335	16	5
1	3	10	76	4110511	836	246	810	335	92	5
1	3	10	77	4110560	813	306	810	335	29	5
1	3	10	78	4110601	763	359	810	335	52	5
1	3	10	79	4110657	783	362	810	335	38	4
1	3	10	80	4110699	832	327	810	335	23	4
1	3	10	81	4110740	768	439	810	335	112	4
1	3	10	82	4110785	847	310	810	335	44	4
1	3	10	83	4110839	811	372	810	335	37	3
1	3	10	84	4110885	616	391	810	335	201	3
1	3	10	85	4110927	591	518	810	335	285	3
1	3	10	86	4110968	585	398	810	335	233	3
1	3	10	87	4111021	757	422	810	335	101	2
1	3	10	88	4111068	770	334	810	335	40	2
1	3	10	89	4111111	766	401	810	335	79	2
1	3	10	90	4111151	784	392	810	335	62	2
1	3	10	91	4111206	776	432	810	335	102	1
1	3	10	92	4111247	737	419	810	335	111	1
1	3	10	93	4111288	792	433	810	335	99	1
1	3	10	94	4111330	814	396	810	335	61	1
