subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	5	16	1	4701723	150	293	183	118	178	20
1	5	16	2	4701766	221	281	183	118	167	20
1	5	16	3	4701809	187	323	183	118	205	20
1	5	16	4	4701851	113	369	183	118	260	20
1	5	16	5	4701892	182	295	183	118	177	20
1	5	16	6	4701936	88	346	183	118	247	20
1	5	16	7	4701977	208	403	183	118	286	20
1	5	16	8	4702019	147	244	183	118	131	20
1	5	16	9	4702062	128	318	183	118	207	20
1	5	16	10	4702108	152	258	183	118	143	20
1	5	16	11	4702170	237	107	183	118	55	20
1	5	16	12	4702214	223	98	183	118	44	20
1	5	16	13	4702255	43	266	183	118	203	20
1	5	16	14	4702296	154	236	183	118	121	20
1	5	16	15	4702337	67	155	183	118	121	20
1	5	16	16	4702378	164	223	183	118	106	20
1	5	16	17	4702420	57	176	183	118	138	20
1	5	16	18	4702461	42	206	183	118	166	20
1	5	16	19	4702503	152	155	183	118	48	20
1	5	16	20	4702556	158	189	183	118	75	19
1	5	16	21	4702600	163	191	183	118	75	19
1	5	16	22	4702642	52	206	183	118	157	19
1	5	16	23	4702686	194	110	183	118	13	19
1	5	16	24	4702741	294	192	183	118	133	18
1	5	16	25	4702783	182	152	183	118	34	18
1	5	16	26	4702824	158	104	183	118	28	18
1	5	16	27	4702863	131	118	183	118	52	18
1	5	16	28	4702918	314	153	183	118	135	17
1	5	16	29	4702961	262	141	183	118	82	17
1	5	16	30	4703008	296	200	183	118	139	17
1	5	16	31	4703050	167	150	183	118	35	17
1	5	16	32	4703103	148	56	183	118	71	16
1	5	16	33	4703145	219	103	183	118	39	16
1	5	16	34	4703186	236	129	183	118	54	16
1	5	16	35	4703233	118	212	183	118	114	16
1	5	16	36	4703293	254	140	183	118	74	15
1	5	16	37	4703336	192	200	183	118	82	15
1	5	16	38	4703380	180	141	183	118	23	15
1	5	16	39	4703421	175	180	183	118	62	15
1	5	16	40	4703474	155	86	183	118	42	14
1	5	16	41	4703516	163	114	183	118	20	14
1	5	16	42	4703559	134	119	183	118	49	14
1	5	16	43	4703600	157	115	183	118	26	14
1	5	16	44	4703653	161	137	183	118	29	13
1	5	16	45	4703694	187	92	183	118	26	13
1	5	16	46	4703735	285	72	183	118	111	13
1	5	16	47	4703776	209	110	183	118	27	13
1	5	16	48	4703831	181	171	183	118	53	12
1	5	16	49	4703873	232	163	183	118	66	12
1	5	16	50	4703914	247	110	183	118	64	12
1	5	16	51	4703974	184	119	183	118	1	12
1	5	16	52	4704046	358	377	183	118	312	11
1	5	16	53	4704087	627	258	183	118	465	11
1	5	16	54	4704131	462	307	183	118	336	11
1	5	16	55	4704184	192	264	183	118	146	10
1	5	16	56	4704226	424	352	183	118	335	10
1	5	16	57	4704267	600	429	183	118	520	10
1	5	16	58	4704309	398	346	183	118	313	10
1	5	16	59	4704364	307	216	183	118	158	9
1	5	16	60	4704408	112	262	183	118	160	9
1	5	16	61	4704450	101	257	183	118	161	9
1	5	16	62	4704490	122	248	183	118	143	9
1	5	16	63	4704545	349	171	183	118	174	8
1	5	16	64	4704588	153	187	183	118	75	8
1	5	16	65	4704630	125	145	183	118	63	8
1	5	16	66	4704672	145	216	183	118	105	8
1	5	16	67	4704726	216	126	183	118	33	7
1	5	16	68	4704771	208	124	183	118	25	7
1	5	16	69	4704831	243	128	183	118	60	7
1	5	16	70	4704874	34	204	183	118	172	7
1	5	16	71	4704929	146	237	183	118	124	6
1	5	16	72	4704976	208	289	183	118	172	6
1	5	16	73	4705018	239	278	183	118	169	6
1	5	16	74	4705060	203	246	183	118	129	6
1	5	16	75	4705116	167	233	183	118	116	5
1	5	16	76	4705157	132	227	183	118	120	5
1	5	16	77	4705198	377	97	183	118	195	5
1	5	16	78	4705240	159	249	183	118	133	5
1	5	16	79	4705292	208	209	183	118	94	4
1	5	16	80	4705335	309	199	183	118	149	4
1	5	16	81	4705377	195	223	183	118	105	4
1	5	16	82	4705420	211	227	183	118	112	4
1	5	16	83	4705474	154	324	183	118	208	3
1	5	16	84	4705516	243	242	183	118	137	3
1	5	16	85	4705559	246	236	183	118	133	3
1	5	16	86	4705599	176	282	183	118	164	3
1	5	16	87	4705654	223	209	183	118	99	2
1	5	16	88	4705694	186	254	183	118	136	2
1	5	16	89	4705734	204	189	183	118	74	2
1	5	16	90	4705778	188	218	183	118	100	2
1	5	16	91	4705832	305	189	183	118	141	1
1	5	16	92	4705876	258	203	183	118	113	1
1	5	16	93	4705917	152	124	183	118	31	1
1	5	16	94	4705958	315	162	183	118	139	1
