subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	1	simple	23	1	289969	dot_80%_20%	360	350	0	0	fixation_onset
1	1	simple	23	2	290008	dot_80%_20%	535	306	0	0	fixation_onset
1	1	simple	23	3	290040	dot_80%_20%	458	338	0	0	fixation_onset
1	1	simple	23	4	290072	dot_80%_20%	486	364	0	0	fixation_onset
1	1	simple	23	5	290109	dot_80%_20%	468	254	0	0	fixation_onset
1	1	simple	23	6	290145	dot_80%_20%	497	346	0	0	fixation_onset
1	1	simple	23	7	290178	dot_80%_20%	514	303	0	0	fixation_onset
1	1	simple	23	8	290212	dot_80%_20%	474	262	0	0	fixation_onset
1	1	simple	23	9	290246	dot_80%_20%	565	280	0	0	fixation_onset
1	1	simple	23	10	290279	dot_80%_20%	637	360	0	0	fixation_onset
1	1	simple	23	11	290314	dot_80%_20%	628	326	0	0	fixation_onset
1	1	simple	23	12	290347	dot_80%_20%	683	311	0	0	fixation_onset
1	1	simple	23	13	290380	dot_80%_20%	610	378	0	0	fixation_onset
1	1	simple	23	14	290415	dot_80%_20%	525	336	0	0	fixation_onset
1	1	simple	23	15	290447	dot_80%_20%	592	405	0	0	fixation_onset
1	1	simple	23	16	290481	dot_80%_20%	554	307	0	0	fixation_onset
1	1	simple	23	17	290515	dot_80%_20%	603	259	0	0	fixation_onset
1	1	simple	23	18	290548	dot_80%_20%	628	375	0	0	fixation_onset
1	1	simple	23	19	290582	dot_80%_20%	628	375	0	0	fixation_onset
1	1	simple	23	20	290618	dot_80%_20%	601	350	0	0	fixation_onset
1	1	simple	23	21	290652	dot_80%_20%	596	397	0	0	fixation_onset
1	1	simple	23	22	290685	dot_80%_20%	651	348	0	0	fixation_onset
1	1	simple	23	23	290724	dot_80%_20%	675	442	0	0	fixation_onset
1	1	simple	23	24	290757	dot_80%_20%	615	412	0	0	fixation_onset
1	1	simple	23	25	290789	dot_80%_20%	602	328	0	0	fixation_onset
1	1	simple	23	26	290824	dot_80%_20%	550	239	0	0	fixation_onset
1	1	simple	23	27	290858	dot_80%_20%	682	308	0	0	fixation_onset
1	1	simple	23	28	290893	dot_80%_20%	534	270	0	0	fixation_onset
1	1	simple	23	29	290927	dot_80%_20%	565	309	0	0	fixation_onset
1	1	simple	23	30	290961	dot_80%_20%	521	279	0	0	fixation_onset
1	1	simple	23	31	290994	dot_80%_20%	497	243	0	0	fixation_onset
1	1	simple	23	32	291030	dot_80%_20%	601	171	0	0	fixation_onset
1	1	simple	23	33	291063	dot_80%_20%	571	200	0	0	fixation_onset
1	1	simple	23	34	291097	dot_80%_20%	495	331	0	0	fixation_onset
1	1	simple	23	35	291131	dot_80%_20%	541	326	0	0	fixation_onset
1	1	simple	23	36	291165	dot_80%_20%	541	326	0	0	fixation_onset
1	1	simple	23	37	291198	dot_80%_20%	455	330	0	0	fixation_onset
1	1	simple	23	38	291233	dot_80%_20%	553	262	0	0	fixation_onset
1	1	simple	23	39	291267	dot_80%_20%	539	346	0	0	fixation_onset
1	1	simple	23	40	291300	dot_80%_20%	633	330	0	0	fixation_onset
1	1	simple	23	41	291336	dot_80%_20%	549	247	0	0	fixation_onset
1	1	simple	23	42	291369	dot_80%_20%	581	276	0	0	fixation_onset
1	1	simple	23	43	291401	dot_80%_20%	642	320	0	0	fixation_onset
1	1	simple	23	44	291435	dot_80%_20%	510	453	0	0	fixation_onset
1	1	simple	23	45	291468	dot_80%_20%	456	329	0	0	fixation_onset
1	1	simple	23	46	291502	dot_80%_20%	559	261	0	0	fixation_offset
1	1	simple	23	47	291537	dot_80%_20%	511	299	0	0	fixation_offset
1	1	simple	23	48	291570	dot_80%_20%	526	287	0	0	fixation_offset
1	1	simple	23	49	291603	dot_80%_20%	508	291	0	0	fixation_offset
1	1	simple	23	50	291642	dot_80%_20%	485	367	0	0	fixation_offset
1	1	simple	23	51	291681	dot_80%_20%	536	326	0	0	fixation_offset
1	1	simple	23	52	291720	dot_80%_20%	530	394	0	0	fixation_offset
1	1	simple	23	53	291755	dot_80%_20%	463	304	0	0	fixation_offset
1	1	simple	23	54	291788	dot_80%_20%	637	327	0	0	fixation_offset
1	1	simple	23	55	291821	dot_80%_20%	442	350	0	0	fixation_offset
1	1	simple	23	56	291855	dot_80%_20%	543	353	0	0	fixation_offset
1	1	simple	23	57	291889	dot_80%_20%	556	306	0	0	fixation_offset
1	1	simple	23	58	291922	dot_80%_20%	524	361	0	0	fixation_offset
1	1	simple	23	59	291956	dot_80%_20%	627	448	0	0	fixation_offset
1	1	simple	23	60	291989	dot_80%_20%	584	304	0	0	fixation_offset
1	1	simple	23	61	292023	dot_80%_20%	604	438	811	119	stimulus_onset
1	1	simple	23	62	292061	dot_80%_20%	736	527	811	119	stimulus_onset
1	1	simple	23	63	292095	dot_80%_20%	521	434	811	119	stimulus_onset
1	1	simple	23	64	292128	dot_80%_20%	635	244	811	119	stimulus_onset
1	1	simple	23	65	292162	dot_80%_20%	507	359	811	119	stimulus_onset
1	1	simple	23	66	292195	dot_80%_20%	518	326	811	119	stimulus_onset
1	1	simple	23	67	292228	dot_80%_20%	613	287	811	119	stimulus_onset
1	1	simple	23	68	292266	dot_80%_20%	598	313	811	119	stimulus_onset
1	1	simple	23	69	292299	dot_80%_20%	681	483	811	119	stimulus_onset
1	1	simple	23	70	292331	dot_80%_20%	626	351	811	119	stimulus_onset
1	1	simple	23	71	292366	dot_80%_20%	603	284	811	119	stimulus_onset
1	1	simple	23	72	292402	dot_80%_20%	497	235	811	119	stimulus_onset
1	1	simple	23	73	292436	dot_80%_20%	647	25	811	119	stimulus_onset
1	1	simple	23	74	292471	dot_80%_20%	843	38	811	119	stimulus_onset
1	1	simple	23	75	292504	dot_80%_20%	833	138	811	119	stimulus_onset
1	1	simple	23	76	292537	dot_80%_20%	871	318	811	119	stimulus_onset
1	1	simple	23	77	292573	dot_80%_20%	901	328	811	119	stimulus_onset
1	1	simple	23	78	292607	dot_80%_20%	954	349	811	119	stimulus_onset
1	1	simple	23	79	292641	dot_80%_20%	986	338	811	119	stimulus_onset
1	1	simple	23	80	292676	dot_80%_20%	946	0	811	119	stimulus_onset
1	1	simple	23	81	292713	dot_80%_20%	886	50	811	119	stimulus_onset
1	1	simple	23	82	292746	dot_80%_20%	853	24	811	119	stimulus_onset
1	1	simple	23	83	292780	dot_80%_20%	936	119	811	119	stimulus_onset
1	1	simple	23	84	292813	dot_80%_20%	898	36	811	119	stimulus_onset
1	1	simple	23	85	292846	dot_80%_20%	911	47	811	119	stimulus_onset
1	1	simple	23	86	292881	dot_80%_20%	840	51	811	119	stimulus_onset
1	1	simple	23	87	292915	dot_80%_20%	865	47	811	119	stimulus_onset
1	1	simple	23	88	292949	dot_80%_20%	846	36	811	119	stimulus_onset
1	1	simple	23	89	292984	dot_80%_20%	800	70	811	119	stimulus_onset
1	1	simple	23	90	293017	dot_80%_20%	825	18	811	119	stimulus_onset
1	1	simple	23	91	293050	dot_80%_20%	885	135	811	119	stimulus_onset
1	1	simple	23	92	293085	dot_80%_20%	905	181	811	119	stimulus_onset
1	1	simple	23	93	293119	dot_80%_20%	835	144	811	119	stimulus_onset
1	1	simple	23	94	293185	dot_80%_20%	870	154	811	119	stimulus_onset
1	1	simple	23	95	293220	dot_80%_20%	874	95	811	119	stimulus_onset
1	1	simple	23	96	293256	dot_80%_20%	865	77	811	119	stimulus_onset
1	1	simple	23	97	293292	dot_80%_20%	906	102	811	119	stimulus_onset
1	1	simple	23	98	293327	dot_80%_20%	841	80	811	119	stimulus_onset
1	1	simple	23	99	293361	dot_80%_20%	877	66	811	119	stimulus_onset
1	1	simple	23	100	293396	dot_80%_20%	839	14	811	119	stimulus_onset
1	1	simple	23	101	293431	dot_80%_20%	748	3	811	119	stimulus_onset
1	1	simple	23	102	293465	dot_80%_20%	804	32	811	119	stimulus_onset
1	1	simple	23	103	293499	dot_80%_20%	803	54	811	119	stimulus_onset
1	1	simple	23	104	293533	dot_80%_20%	819	29	811	119	stimulus_onset
1	1	simple	23	105	293569	dot_80%_20%	781	26	811	119	stimulus_onset
1	1	simple	23	106	293603	dot_80%_20%	836	83	811	119	stimulus_onset
1	1	simple	23	107	293637	dot_80%_20%	879	99	811	119	stimulus_onset
1	1	simple	23	108	293670	dot_80%_20%	855	80	811	119	stimulus_onset
1	1	simple	23	109	293707	dot_80%_20%	788	114	811	119	stimulus_onset
1	1	simple	23	110	293743	dot_80%_20%	747	119	811	119	stimulus_onset
1	1	simple	23	111	293775	dot_80%_20%	746	85	811	119	stimulus_onset
1	1	simple	23	112	293808	dot_80%_20%	839	148	811	119	stimulus_onset
1	1	simple	23	113	293841	dot_80%_20%	852	125	811	119	stimulus_onset
1	1	simple	23	114	293874	dot_80%_20%	800	178	811	119	stimulus_onset
1	1	simple	23	115	293908	dot_80%_20%	886	104	811	119	stimulus_onset
1	1	simple	23	116	293946	dot_80%_20%	765	191	811	119	stimulus_onset
1	1	simple	23	117	293978	dot_80%_20%	784	164	811	119	stimulus_onset
1	1	simple	23	118	294015	dot_80%_20%	836	90	811	119	stimulus_onset
1	1	simple	23	119	294049	dot_80%_20%	813	19	811	119	stimulus_onset
