subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	3	pursuit	13	1	4256281	pursuit_20%_80%_80%_80%	509	420	184	553	fixation_onset
1	3	pursuit	13	2	4256325	pursuit_20%_80%_80%_80%	531	284	184	553	fixation_onset
1	3	pursuit	13	3	4256365	pursuit_20%_80%_80%_80%	524	141	184	553	fixation_onset
1	3	pursuit	13	4	4256408	pursuit_20%_80%_80%_80%	461	159	184	553	fixation_onset
1	3	pursuit	13	5	4256465	pursuit_20%_80%_80%_80%	506	162	184	553	fixation_onset
1	3	pursuit	13	6	4256509	pursuit_20%_80%_80%_80%	612	156	184	553	fixation_onset
1	3	pursuit	13	7	4256551	pursuit_20%_80%_80%_80%	337	378	184	553	fixation_onset
1	3	pursuit	13	8	4256594	pursuit_20%_80%_80%_80%	223	299	184	553	fixation_onset
1	3	pursuit	13	9	4256635	pursuit_20%_80%_80%_80%	326	311	184	553	fixation_onset
1	3	pursuit	13	10	4256680	pursuit_20%_80%_80%_80%	299	265	184	553	fixation_onset
1	3	pursuit	13	11	4256720	pursuit_20%_80%_80%_80%	167	313	184	553	fixation_onset
1	3	pursuit	13	12	4256761	pursuit_20%_80%_80%_80%	122	466	184	553	fixation_onset
1	3	pursuit	13	13	4256802	pursuit_20%_80%_80%_80%	168	468	184	553	fixation_onset
1	3	pursuit	13	14	4256842	pursuit_20%_80%_80%_80%	164	478	184	553	fixation_onset
1	3	pursuit	13	15	4256882	pursuit_20%_80%_80%_80%	186	512	184	553	fixation_onset
1	3	pursuit	13	16	4256924	pursuit_20%_80%_80%_80%	259	517	184	553	fixation_onset
1	3	pursuit	13	17	4256963	pursuit_20%_80%_80%_80%	203	671	184	553	fixation_onset
1	3	pursuit	13	18	4257005	pursuit_20%_80%_80%_80%	280	271	184	553	fixation_onset
1	3	pursuit	13	19	4257046	pursuit_20%_80%_80%_80%	146	598	184	553	fixation_onset
1	3	pursuit	13	20	4257086	pursuit_20%_80%_80%_80%	149	523	184	553	fixation_onset
1	3	pursuit	13	21	4257127	pursuit_20%_80%_80%_80%	175	551	184	553	fixation_onset
1	3	pursuit	13	22	4257169	pursuit_20%_80%_80%_80%	198	515	184	553	fixation_onset
1	3	pursuit	13	23	4257214	pursuit_20%_80%_80%_80%	195	510	184	553	fixation_onset
1	3	pursuit	13	24	4257258	pursuit_20%_80%_80%_80%	152	671	184	553	fixation_onset
1	3	pursuit	13	25	4257303	pursuit_20%_80%_80%_80%	273	457	184	553	fixation_onset
1	3	pursuit	13	26	4257344	pursuit_20%_80%_80%_80%	182	503	184	553	fixation_onset
1	3	pursuit	13	27	4257384	pursuit_20%_80%_80%_80%	197	596	184	553	fixation_onset
1	3	pursuit	13	28	4257425	pursuit_20%_80%_80%_80%	224	517	184	553	fixation_onset
1	3	pursuit	13	29	4257467	pursuit_20%_80%_80%_80%	233	652	184	553	fixation_onset
1	3	pursuit	13	30	4257507	pursuit_20%_80%_80%_80%	152	587	184	553	fixation_onset
1	3	pursuit	13	31	4257548	pursuit_20%_80%_80%_80%	184	614	184	553	fixation_onset
1	3	pursuit	13	32	4257590	pursuit_20%_80%_80%_80%	132	680	184	553	fixation_onset
1	3	pursuit	13	33	4257632	pursuit_20%_80%_80%_80%	106	652	184	553	fixation_onset
1	3	pursuit	13	34	4257675	pursuit_20%_80%_80%_80%	97	619	184	553	fixation_onset
1	3	pursuit	13	35	4257715	pursuit_20%_80%_80%_80%	133	713	184	553	fixation_onset
1	3	pursuit	13	36	4257755	pursuit_20%_80%_80%_80%	307	566	184	553	fixation_onset
1	3	pursuit	13	37	4257797	pursuit_20%_80%_80%_80%	218	584	184	553	fixation_onset
1	3	pursuit	13	38	4257838	pursuit_20%_80%_80%_80%	313	565	184	553	pursuit_start
1	3	pursuit	13	39	4257886	pursuit_20%_80%_80%_80%	299	564	184	553	pursuit_start
1	3	pursuit	13	40	4257931	pursuit_20%_80%_80%_80%	261	649	212	553	pursuit_start
1	3	pursuit	13	41	4257995	pursuit_20%_80%_80%_80%	115	492	212	553	pursuit_start
1	3	pursuit	13	42	4258039	pursuit_20%_80%_80%_80%	135	684	246	553	pursuit_start
1	3	pursuit	13	43	4258081	pursuit_20%_80%_80%_80%	226	662	246	553	pursuit_start
1	3	pursuit	13	44	4258122	pursuit_20%_80%_80%_80%	155	660	273	553	pursuit_start
1	3	pursuit	13	45	4258162	pursuit_20%_80%_80%_80%	167	545	273	553	pursuit_start
1	3	pursuit	13	46	4258205	pursuit_20%_80%_80%_80%	149	641	299	553	pursuit_start
1	3	pursuit	13	47	4258248	pursuit_20%_80%_80%_80%	260	502	299	553	pursuit_start
1	3	pursuit	13	48	4258289	pursuit_20%_80%_80%_80%	212	570	326	553	pursuit_start
1	3	pursuit	13	49	4258331	pursuit_20%_80%_80%_80%	422	419	326	553	pursuit_start
1	3	pursuit	13	50	4258372	pursuit_20%_80%_80%_80%	180	626	352	553	pursuit_start
1	3	pursuit	13	51	4258414	pursuit_20%_80%_80%_80%	344	360	352	553	pursuit_start
1	3	pursuit	13	52	4258457	pursuit_20%_80%_80%_80%	389	494	378	553	pursuit_start
1	3	pursuit	13	53	4258498	pursuit_20%_80%_80%_80%	235	511	378	553	pursuit_start
1	3	pursuit	13	54	4258539	pursuit_20%_80%_80%_80%	362	487	404	553	pursuit_start
1	3	pursuit	13	55	4258581	pursuit_20%_80%_80%_80%	392	482	404	553	pursuit_start
1	3	pursuit	13	56	4258622	pursuit_20%_80%_80%_80%	377	501	430	553	pursuit_start
1	3	pursuit	13	57	4258665	pursuit_20%_80%_80%_80%	520	564	430	553	pursuit_start
1	3	pursuit	13	58	4258707	pursuit_20%_80%_80%_80%	420	534	456	553	pursuit_start
1	3	pursuit	13	59	4258749	pursuit_20%_80%_80%_80%	432	481	456	553	pursuit_start
