subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	6	20	1	5240613	189	499	183	335	164	20
1	6	20	2	5240658	190	562	183	335	227	20
1	6	20	3	5240703	193	478	183	335	143	20
1	6	20	4	5240744	233	498	183	335	170	20
1	6	20	5	5240785	150	433	183	335	103	20
1	6	20	6	5240826	261	404	183	335	104	20
1	6	20	7	5240869	105	520	183	335	200	20
1	6	20	8	5240910	186	435	183	335	100	20
1	6	20	9	5240952	247	490	183	335	167	20
1	6	20	10	5240992	259	485	183	335	168	20
1	6	20	11	5241035	189	244	183	335	91	20
1	6	20	12	5241076	246	268	183	335	91	20
1	6	20	13	5241116	276	352	183	335	94	20
1	6	20	14	5241157	263	331	183	335	80	20
1	6	20	15	5241198	227	390	183	335	70	20
1	6	20	16	5241244	270	282	183	335	101	20
1	6	20	17	5241311	172	394	183	335	60	20
1	6	20	18	5241355	210	329	183	335	27	20
1	6	20	19	5241397	183	311	183	335	24	20
1	6	20	20	5241450	173	361	183	335	27	19
1	6	20	21	5241491	199	526	183	335	191	19
1	6	20	22	5241535	316	389	183	335	143	19
1	6	20	23	5241579	228	459	183	335	131	19
1	6	20	24	5241633	215	385	183	335	59	18
1	6	20	25	5241675	235	359	183	335	57	18
1	6	20	26	5241716	126	266	183	335	89	18
1	6	20	27	5241757	205	387	183	335	56	18
1	6	20	28	5241810	218	305	183	335	46	17
1	6	20	29	5241852	230	249	183	335	98	17
1	6	20	30	5241893	265	264	183	335	108	17
1	6	20	31	5241935	195	403	183	335	69	17
1	6	20	32	5241989	176	306	183	335	29	16
1	6	20	33	5242029	182	331	183	335	4	16
1	6	20	34	5242071	132	277	183	335	77	16
1	6	20	35	5242117	167	239	183	335	97	16
1	6	20	36	5242175	174	380	183	335	45	15
1	6	20	37	5242221	183	281	183	335	54	15
1	6	20	38	5242263	115	288	183	335	82	15
1	6	20	39	5242308	159	268	183	335	71	15
1	6	20	40	5242362	242	324	183	335	60	14
1	6	20	41	5242405	181	253	183	335	82	14
1	6	20	42	5242446	181	336	183	335	2	14
1	6	20	43	5242486	235	284	183	335	72	14
1	6	20	44	5242546	193	363	183	335	29	13
1	6	20	45	5242590	210	358	183	335	35	13
1	6	20	46	5242631	153	415	183	335	85	13
1	6	20	47	5242673	186	348	183	335	13	13
1	6	20	48	5242725	76	360	183	335	109	12
1	6	20	49	5242767	149	370	183	335	48	12
1	6	20	50	5242811	190	221	183	335	114	12
1	6	20	51	5242852	246	295	183	335	74	12
1	6	20	52	5242906	235	318	183	335	54	11
1	6	20	53	5242948	169	278	183	335	58	11
1	6	20	54	5242990	237	226	183	335	121	11
1	6	20	55	5243031	150	309	183	335	42	11
1	6	20	56	5243084	309	364	183	335	129	10
1	6	20	57	5243126	370	407	183	335	200	10
1	6	20	58	5243166	563	391	183	335	384	10
1	6	20	59	5243208	607	276	183	335	428	10
1	6	20	60	5243260	161	344	183	335	23	9
1	6	20	61	5243303	204	399	183	335	67	9
1	6	20	62	5243344	224	400	183	335	76	9
1	6	20	63	5243384	117	403	183	335	94	9
1	6	20	64	5243438	133	233	183	335	113	8
1	6	20	65	5243478	152	268	183	335	73	8
1	6	20	66	5243525	159	308	183	335	36	8
1	6	20	67	5243568	129	250	183	335	100	8
1	6	20	68	5243622	70	303	183	335	117	7
1	6	20	69	5243664	238	339	183	335	55	7
1	6	20	70	5243706	121	328	183	335	62	7
1	6	20	71	5243748	104	251	183	335	115	7
1	6	20	72	5243801	181	253	183	335	82	6
1	6	20	73	5243844	253	247	183	335	112	6
1	6	20	74	5243885	247	141	183	335	204	6
1	6	20	75	5243925	116	274	183	335	90	6
1	6	20	76	5243978	249	288	183	335	81	5
1	6	20	77	5244020	126	235	183	335	115	5
1	6	20	78	5244062	220	283	183	335	63	5
1	6	20	79	5244119	151	288	183	335	56	5
1	6	20	80	5244176	115	331	183	335	68	4
1	6	20	81	5244219	186	242	183	335	93	4
1	6	20	82	5244258	169	380	183	335	47	4
1	6	20	83	5244301	147	365	183	335	46	4
1	6	20	84	5244354	176	339	183	335	8	3
1	6	20	85	5244396	170	293	183	335	43	3
1	6	20	86	5244439	152	302	183	335	45	3
1	6	20	87	5244478	237	242	183	335	107	3
1	6	20	88	5244536	123	295	183	335	72	2
1	6	20	89	5244604	93	392	183	335	106	2
1	6	20	90	5244648	128	392	183	335	79	2
1	6	20	91	5244701	181	299	183	335	36	1
1	6	20	92	5244745	71	384	183	335	122	1
1	6	20	93	5244787	72	371	183	335	116	1
1	6	20	94	5244848	170	303	183	335	34	1
