subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	5	pursuit	23	1	4871400	pursuit_80%_20%_80%_80%	401	460	811	119	fixation_onset
1	5	pursuit	23	2	4871447	pursuit_80%_20%_80%_80%	365	379	811	119	fixation_onset
1	5	pursuit	23	3	4871491	pursuit_80%_20%_80%_80%	420	341	811	119	fixation_onset
1	5	pursuit	23	4	4871536	pursuit_80%_20%_80%_80%	420	362	811	119	fixation_onset
1	5	pursuit	23	5	4871583	pursuit_80%_20%_80%_80%	516	410	811	119	fixation_onset
1	5	pursuit	23	6	4871625	pursuit_80%_20%_80%_80%	503	314	811	119	fixation_onset
1	5	pursuit	23	7	4871666	pursuit_80%_20%_80%_80%	507	317	811	119	fixation_onset
1	5	pursuit	23	8	4871710	pursuit_80%_20%_80%_80%	776	142	811	119	fixation_onset
1	5	pursuit	23	9	4871750	pursuit_80%_20%_80%_80%	707	236	811	119	fixation_onset
1	5	pursuit	23	10	4871790	pursuit_80%_20%_80%_80%	688	142	811	119	fixation_onset
1	5	pursuit	23	11	4871833	pursuit_80%_20%_80%_80%	654	283	811	119	fixation_onset
1	5	pursuit	23	12	4871873	pursuit_80%_20%_80%_80%	716	231	811	119	fixation_onset
1	5	pursuit	23	13	4871914	pursuit_80%_20%_80%_80%	753	-52	811	119	fixation_onset
1	5	pursuit	23	14	4871956	pursuit_80%_20%_80%_80%	680	55	811	119	fixation_onset
1	5	pursuit	23	15	4871996	pursuit_80%_20%_80%_80%	774	-4	811	119	fixation_onset
1	5	pursuit	23	16	4872038	pursuit_80%_20%_80%_80%	741	18	811	119	fixation_onset
1	5	pursuit	23	17	4872080	pursuit_80%_20%_80%_80%	786	59	811	119	fixation_onset
1	5	pursuit	23	18	4872121	pursuit_80%_20%_80%_80%	857	35	811	119	fixation_onset
1	5	pursuit	23	19	4872161	pursuit_80%_20%_80%_80%	788	51	811	119	fixation_onset
1	5	pursuit	23	20	4872203	pursuit_80%_20%_80%_80%	850	52	811	119	fixation_onset
1	5	pursuit	23	21	4872244	pursuit_80%_20%_80%_80%	819	101	811	119	fixation_onset
1	5	pursuit	23	22	4872288	pursuit_80%_20%_80%_80%	727	79	811	119	fixation_onset
1	5	pursuit	23	23	4872334	pursuit_80%_20%_80%_80%	769	50	811	119	fixation_onset
1	5	pursuit	23	24	4872381	pursuit_80%_20%_80%_80%	758	16	811	119	fixation_onset
1	5	pursuit	23	25	4872451	pursuit_80%_20%_80%_80%	737	-20	811	119	fixation_onset
