subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	1	simple	24	1	294658	dot_20%_80%	494	477	0	0	fixation_onset
1	1	simple	24	2	294698	dot_20%_80%	573	475	0	0	fixation_onset
1	1	simple	24	3	294732	dot_20%_80%	549	363	0	0	fixation_onset
1	1	simple	24	4	294766	dot_20%_80%	478	430	0	0	fixation_onset
1	1	simple	24	5	294799	dot_20%_80%	544	400	0	0	fixation_onset
1	1	simple	24	6	294832	dot_20%_80%	520	429	0	0	fixation_onset
1	1	simple	24	7	294866	dot_20%_80%	467	422	0	0	fixation_onset
1	1	simple	24	8	294899	dot_20%_80%	422	350	0	0	fixation_onset
1	1	simple	24	9	294933	dot_20%_80%	467	459	0	0	fixation_onset
1	1	simple	24	10	294967	dot_20%_80%	422	358	0	0	fixation_onset
1	1	simple	24	11	295001	dot_20%_80%	615	408	0	0	fixation_onset
1	1	simple	24	12	295034	dot_20%_80%	454	474	0	0	fixation_onset
1	1	simple	24	13	295069	dot_20%_80%	640	417	0	0	fixation_onset
1	1	simple	24	14	295102	dot_20%_80%	404	316	0	0	fixation_onset
1	1	simple	24	15	295135	dot_20%_80%	500	433	0	0	fixation_onset
1	1	simple	24	16	295169	dot_20%_80%	572	516	0	0	fixation_onset
1	1	simple	24	17	295202	dot_20%_80%	482	410	0	0	fixation_onset
1	1	simple	24	18	295235	dot_20%_80%	574	478	0	0	fixation_onset
1	1	simple	24	19	295269	dot_20%_80%	544	456	0	0	fixation_onset
1	1	simple	24	20	295303	dot_20%_80%	525	484	0	0	fixation_onset
1	1	simple	24	21	295336	dot_20%_80%	486	398	0	0	fixation_onset
1	1	simple	24	22	295371	dot_20%_80%	606	341	0	0	fixation_onset
1	1	simple	24	23	295405	dot_20%_80%	623	415	0	0	fixation_onset
1	1	simple	24	24	295439	dot_20%_80%	529	392	0	0	fixation_onset
1	1	simple	24	25	295474	dot_20%_80%	587	361	0	0	fixation_onset
1	1	simple	24	26	295507	dot_20%_80%	629	430	0	0	fixation_onset
1	1	simple	24	27	295541	dot_20%_80%	553	388	0	0	fixation_onset
1	1	simple	24	28	295577	dot_20%_80%	557	332	0	0	fixation_onset
1	1	simple	24	29	295609	dot_20%_80%	546	411	0	0	fixation_onset
1	1	simple	24	30	295643	dot_20%_80%	641	405	0	0	fixation_onset
1	1	simple	24	31	295677	dot_20%_80%	498	357	0	0	fixation_onset
1	1	simple	24	32	295712	dot_20%_80%	498	357	0	0	fixation_onset
1	1	simple	24	33	295746	dot_20%_80%	568	431	0	0	fixation_onset
1	1	simple	24	34	295779	dot_20%_80%	574	356	0	0	fixation_onset
1	1	simple	24	35	295812	dot_20%_80%	627	436	0	0	fixation_onset
1	1	simple	24	36	295845	dot_20%_80%	530	335	0	0	fixation_onset
1	1	simple	24	37	295881	dot_20%_80%	370	401	0	0	fixation_onset
1	1	simple	24	38	295914	dot_20%_80%	512	343	0	0	fixation_onset
1	1	simple	24	39	295948	dot_20%_80%	512	353	0	0	fixation_onset
1	1	simple	24	40	295982	dot_20%_80%	437	300	0	0	fixation_onset
1	1	simple	24	41	296016	dot_20%_80%	524	303	0	0	fixation_onset
1	1	simple	24	42	296050	dot_20%_80%	602	391	0	0	fixation_onset
1	1	simple	24	43	296084	dot_20%_80%	516	481	0	0	fixation_onset
1	1	simple	24	44	296121	dot_20%_80%	558	486	0	0	fixation_onset
1	1	simple	24	45	296156	dot_20%_80%	534	464	0	0	fixation_onset
1	1	simple	24	46	296194	dot_20%_80%	508	509	0	0	fixation_offset
1	1	simple	24	47	296229	dot_20%_80%	474	359	0	0	fixation_offset
1	1	simple	24	48	296263	dot_20%_80%	559	406	0	0	fixation_offset
1	1	simple	24	49	296298	dot_20%_80%	611	286	0	0	fixation_offset
1	1	simple	24	50	296333	dot_20%_80%	465	403	0	0	fixation_offset
1	1	simple	24	51	296368	dot_20%_80%	573	325	0	0	fixation_offset
1	1	simple	24	52	296404	dot_20%_80%	586	325	0	0	fixation_offset
1	1	simple	24	53	296438	dot_20%_80%	630	231	0	0	fixation_offset
1	1	simple	24	54	296473	dot_20%_80%	612	371	0	0	fixation_offset
1	1	simple	24	55	296507	dot_20%_80%	654	318	0	0	fixation_offset
1	1	simple	24	56	296540	dot_20%_80%	502	315	0	0	fixation_offset
1	1	simple	24	57	296574	dot_20%_80%	637	313	0	0	fixation_offset
1	1	simple	24	58	296608	dot_20%_80%	616	348	0	0	fixation_offset
1	1	simple	24	59	296643	dot_20%_80%	454	378	0	0	fixation_offset
1	1	simple	24	60	296677	dot_20%_80%	600	313	0	0	fixation_offset
1	1	simple	24	61	296714	dot_20%_80%	483	385	184	553	stimulus_onset
1	1	simple	24	62	296750	dot_20%_80%	579	316	184	553	stimulus_onset
1	1	simple	24	63	296785	dot_20%_80%	533	341	184	553	stimulus_onset
1	1	simple	24	64	296819	dot_20%_80%	653	387	184	553	stimulus_onset
1	1	simple	24	65	296852	dot_20%_80%	524	373	184	553	stimulus_onset
1	1	simple	24	66	296885	dot_20%_80%	556	374	184	553	stimulus_onset
1	1	simple	24	67	296919	dot_20%_80%	518	382	184	553	stimulus_onset
1	1	simple	24	68	296953	dot_20%_80%	545	359	184	553	stimulus_onset
1	1	simple	24	69	296987	dot_20%_80%	560	292	184	553	stimulus_onset
1	1	simple	24	70	297021	dot_20%_80%	306	432	184	553	stimulus_onset
1	1	simple	24	71	297054	dot_20%_80%	172	417	184	553	stimulus_onset
1	1	simple	24	72	297088	dot_20%_80%	200	510	184	553	stimulus_onset
1	1	simple	24	73	297122	dot_20%_80%	216	672	184	553	stimulus_onset
1	1	simple	24	74	297155	dot_20%_80%	200	609	184	553	stimulus_onset
1	1	simple	24	75	297188	dot_20%_80%	149	578	184	553	stimulus_onset
1	1	simple	24	76	297222	dot_20%_80%	248	557	184	553	stimulus_onset
1	1	simple	24	77	297255	dot_20%_80%	208	567	184	553	stimulus_onset
1	1	simple	24	78	297288	dot_20%_80%	208	505	184	553	stimulus_onset
1	1	simple	24	79	297323	dot_20%_80%	352	540	184	553	stimulus_onset
1	1	simple	24	80	297355	dot_20%_80%	171	379	184	553	stimulus_onset
1	1	simple	24	81	297389	dot_20%_80%	129	543	184	553	stimulus_onset
1	1	simple	24	82	297423	dot_20%_80%	129	543	184	553	stimulus_onset
1	1	simple	24	83	297456	dot_20%_80%	184	486	184	553	stimulus_onset
1	1	simple	24	84	297489	dot_20%_80%	210	493	184	553	stimulus_onset
1	1	simple	24	85	297522	dot_20%_80%	283	590	184	553	stimulus_onset
1	1	simple	24	86	297556	dot_20%_80%	217	440	184	553	stimulus_onset
1	1	simple	24	87	297591	dot_20%_80%	237	615	184	553	stimulus_onset
1	1	simple	24	88	297627	dot_20%_80%	187	584	184	553	stimulus_onset
1	1	simple	24	89	297661	dot_20%_80%	56	308	184	553	stimulus_onset
1	1	simple	24	90	297696	dot_20%_80%	348	561	184	553	stimulus_onset
1	1	simple	24	91	297733	dot_20%_80%	246	518	184	553	stimulus_onset
1	1	simple	24	92	297767	dot_20%_80%	300	534	184	553	stimulus_onset
1	1	simple	24	93	297800	dot_20%_80%	184	406	184	553	stimulus_onset
1	1	simple	24	94	297835	dot_20%_80%	78	387	184	553	stimulus_onset
1	1	simple	24	95	297868	dot_20%_80%	135	598	184	553	stimulus_onset
1	1	simple	24	96	297902	dot_20%_80%	82	527	184	553	stimulus_onset
1	1	simple	24	97	297936	dot_20%_80%	108	531	184	553	stimulus_onset
1	1	simple	24	98	297969	dot_20%_80%	146	518	184	553	stimulus_onset
1	1	simple	24	99	298002	dot_20%_80%	168	521	184	553	stimulus_onset
1	1	simple	24	100	298036	dot_20%_80%	88	511	184	553	stimulus_onset
1	1	simple	24	101	298069	dot_20%_80%	163	553	184	553	stimulus_onset
1	1	simple	24	102	298105	dot_20%_80%	201	543	184	553	stimulus_onset
1	1	simple	24	103	298138	dot_20%_80%	187	427	184	553	stimulus_onset
1	1	simple	24	104	298171	dot_20%_80%	85	483	184	553	stimulus_onset
1	1	simple	24	105	298206	dot_20%_80%	116	540	184	553	stimulus_onset
1	1	simple	24	106	298242	dot_20%_80%	135	439	184	553	stimulus_onset
1	1	simple	24	107	298274	dot_20%_80%	233	548	184	553	stimulus_onset
1	1	simple	24	108	298308	dot_20%_80%	185	395	184	553	stimulus_onset
1	1	simple	24	109	298361	dot_20%_80%	211	553	184	553	stimulus_onset
1	1	simple	24	110	298394	dot_20%_80%	75	459	184	553	stimulus_onset
1	1	simple	24	111	298427	dot_20%_80%	134	606	184	553	stimulus_onset
1	1	simple	24	112	298464	dot_20%_80%	160	524	184	553	stimulus_onset
1	1	simple	24	113	298498	dot_20%_80%	189	521	184	553	stimulus_onset
1	1	simple	24	114	298532	dot_20%_80%	75	492	184	553	stimulus_onset
1	1	simple	24	115	298568	dot_20%_80%	120	531	184	553	stimulus_onset
1	1	simple	24	116	298601	dot_20%_80%	100	441	184	553	stimulus_onset
1	1	simple	24	117	298635	dot_20%_80%	206	511	184	553	stimulus_onset
1	1	simple	24	118	298670	dot_20%_80%	113	497	184	553	stimulus_onset
1	1	simple	24	119	298705	dot_20%_80%	198	498	184	553	stimulus_onset
1	1	simple	24	120	298738	dot_20%_80%	161	516	184	553	stimulus_onset
