subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status	timestamp_duration
1	2	freeviewing	1	49	453285	view_stimuli/tolcam_face_28.png_left	61	334	-1	-1	stimulus_onset	66
1	2	freeviewing	1	50	453336	view_stimuli/tolcam_face_28.png_left	-26	277	-1	-1	stimulus_onset	51
1	2	freeviewing	1	51	453404	view_stimuli/tolcam_face_28.png_left	43	364	-1	-1	stimulus_onset	68
1	2	freeviewing	1	52	453453	view_stimuli/tolcam_face_28.png_left	55	337	-1	-1	stimulus_onset	49
1	2	freeviewing	1	53	453525	view_stimuli/tolcam_face_28.png_left	17	246	-1	-1	stimulus_onset	72
1	2	freeviewing	1	54	453571	view_stimuli/tolcam_face_28.png_left	42	441	-1	-1	stimulus_onset	46
1	2	freeviewing	1	55	453617	view_stimuli/tolcam_face_28.png_left	32	360	-1	-1	stimulus_onset	46
1	2	freeviewing	1	56	453673	view_stimuli/tolcam_face_28.png_left	26	361	-1	-1	stimulus_onset	56
1	2	freeviewing	1	57	453722	view_stimuli/tolcam_face_28.png_left	-33	269	-1	-1	stimulus_onset	49
1	2	freeviewing	1	58	453768	view_stimuli/tolcam_face_28.png_left	-5	308	-1	-1	stimulus_onset	46
1	2	freeviewing	1	59	453818	view_stimuli/tolcam_face_28.png_left	250	323	-1	-1	stimulus_onset	50
1	2	freeviewing	1	60	453887	view_stimuli/tolcam_face_28.png_left	233	328	-1	-1	stimulus_onset	69
1	2	freeviewing	1	61	453936	view_stimuli/tolcam_face_28.png_left	166	306	-1	-1	stimulus_onset	49
1	2	freeviewing	1	62	453985	view_stimuli/tolcam_face_28.png_left	143	334	-1	-1	stimulus_onset	49
1	2	freeviewing	1	63	454035	view_stimuli/tolcam_face_28.png_left	49	464	-1	-1	stimulus_onset	50
1	2	freeviewing	1	64	454086	view_stimuli/tolcam_face_28.png_left	91	434	-1	-1	stimulus_onset	51
1	2	freeviewing	1	65	454134	view_stimuli/tolcam_face_28.png_left	180	350	-1	-1	stimulus_onset	48
1	2	freeviewing	1	66	454185	view_stimuli/tolcam_face_28.png_left	228	455	-1	-1	stimulus_onset	51
1	2	freeviewing	1	67	454238	view_stimuli/tolcam_face_28.png_left	190	363	-1	-1	stimulus_onset	53
1	2	freeviewing	1	68	454284	view_stimuli/tolcam_face_28.png_left	255	341	-1	-1	stimulus_onset	46
1	2	freeviewing	1	69	454335	view_stimuli/tolcam_face_28.png_left	213	377	-1	-1	stimulus_onset	51
1	2	freeviewing	1	70	454385	view_stimuli/tolcam_face_28.png_left	269	315	-1	-1	stimulus_onset	50
1	2	freeviewing	1	71	454435	view_stimuli/tolcam_face_28.png_left	293	270	-1	-1	stimulus_onset	50
1	2	freeviewing	1	72	454503	view_stimuli/tolcam_face_28.png_left	344	303	-1	-1	stimulus_onset	68
1	2	freeviewing	1	73	454553	view_stimuli/tolcam_face_28.png_left	239	244	-1	-1	stimulus_onset	50
1	2	freeviewing	1	74	454601	view_stimuli/tolcam_face_28.png_left	236	335	-1	-1	stimulus_onset	48
1	2	freeviewing	1	75	454669	view_stimuli/tolcam_face_28.png_left	39	459	-1	-1	stimulus_onset	68
1	2	freeviewing	1	76	454721	view_stimuli/tolcam_face_28.png_left	52	476	-1	-1	stimulus_onset	52
1	2	freeviewing	1	77	454768	view_stimuli/tolcam_face_28.png_left	39	463	-1	-1	stimulus_onset	47
1	2	freeviewing	1	78	454818	view_stimuli/tolcam_face_28.png_left	5	483	-1	-1	stimulus_onset	50
1	2	freeviewing	1	79	454872	view_stimuli/tolcam_face_28.png_left	-19	428	-1	-1	stimulus_onset	54
1	2	freeviewing	1	80	454920	view_stimuli/tolcam_face_28.png_left	14	456	-1	-1	stimulus_onset	48
1	2	freeviewing	1	81	454987	view_stimuli/tolcam_face_28.png_left	-82	424	-1	-1	stimulus_onset	67
1	2	freeviewing	1	82	455035	view_stimuli/tolcam_face_28.png_left	75	421	-1	-1	stimulus_onset	48
1	2	freeviewing	1	83	455087	view_stimuli/tolcam_face_28.png_left	4	487	-1	-1	stimulus_onset	52
1	2	freeviewing	1	84	455135	view_stimuli/tolcam_face_28.png_left	5	398	-1	-1	stimulus_onset	48
1	2	freeviewing	1	85	455187	view_stimuli/tolcam_face_28.png_left	99	403	-1	-1	stimulus_onset	52
