subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	5	1	1	4637705	573	243	497	118	146	20
1	5	1	2	4637749	629	235	497	118	176	20
1	5	1	3	4637790	620	192	497	118	143	20
1	5	1	4	4637832	566	383	497	118	273	20
1	5	1	5	4637872	499	416	497	118	298	20
1	5	1	6	4637916	497	401	497	118	283	20
1	5	1	7	4637964	402	377	497	118	275	20
1	5	1	8	4638004	341	390	497	118	313	20
1	5	1	9	4638044	394	343	497	118	247	20
1	5	1	10	4638086	543	351	497	118	237	20
1	5	1	11	4638127	307	253	497	118	233	20
1	5	1	12	4638168	404	128	497	118	93	20
1	5	1	13	4638209	469	217	497	118	102	20
1	5	1	14	4638250	361	294	497	118	222	20
1	5	1	15	4638290	460	256	497	118	142	20
1	5	1	16	4638336	307	268	497	118	242	20
1	5	1	17	4638380	368	165	497	118	137	20
1	5	1	18	4638421	308	168	497	118	195	20
1	5	1	19	4638464	352	209	497	118	171	20
1	5	1	20	4638517	417	226	497	118	134	19
1	5	1	21	4638560	324	161	497	118	178	19
1	5	1	22	4638601	363	286	497	118	214	19
1	5	1	23	4638642	288	125	497	118	209	19
1	5	1	24	4638698	338	103	497	118	159	18
1	5	1	25	4638740	462	97	497	118	40	18
1	5	1	26	4638798	417	164	497	118	92	18
1	5	1	27	4638840	424	89	497	118	78	18
1	5	1	28	4638894	457	123	497	118	40	17
1	5	1	29	4638936	409	123	497	118	88	17
1	5	1	30	4638977	451	118	497	118	46	17
1	5	1	31	4639019	454	125	497	118	43	17
1	5	1	32	4639077	421	228	497	118	133	16
1	5	1	33	4639122	365	253	497	118	188	16
1	5	1	34	4639162	397	198	497	118	128	16
1	5	1	35	4639202	431	241	497	118	139	16
1	5	1	36	4639256	425	266	497	118	164	15
1	5	1	37	4639297	401	171	497	118	109	15
1	5	1	38	4639339	363	143	497	118	136	15
1	5	1	39	4639384	554	217	497	118	114	15
1	5	1	40	4639447	430	221	497	118	122	14
1	5	1	41	4639492	359	179	497	118	150	14
1	5	1	42	4639534	494	131	497	118	13	14
1	5	1	43	4639577	459	144	497	118	46	14
1	5	1	44	4639631	465	154	497	118	48	13
1	5	1	45	4639674	451	100	497	118	49	13
1	5	1	46	4639715	416	132	497	118	82	13
1	5	1	47	4639754	528	157	497	118	49	13
1	5	1	48	4639808	531	167	497	118	59	12
1	5	1	49	4639850	517	104	497	118	24	12
1	5	1	50	4639893	484	143	497	118	28	12
1	5	1	51	4639934	433	177	497	118	87	12
1	5	1	52	4639988	371	167	497	118	135	11
1	5	1	53	4640029	332	196	497	118	182	11
1	5	1	54	4640070	582	152	497	118	91	11
1	5	1	55	4640112	550	86	497	118	61	11
1	5	1	56	4640166	512	218	497	118	101	10
1	5	1	57	4640208	516	176	497	118	61	10
1	5	1	58	4640249	561	196	497	118	100	10
1	5	1	59	4640290	429	194	497	118	101	10
1	5	1	60	4640364	523	140	497	118	34	9
1	5	1	61	4640416	459	91	497	118	46	9
1	5	1	62	4640458	444	130	497	118	54	9
1	5	1	63	4640510	428	159	497	118	80	8
1	5	1	64	4640554	376	116	497	118	121	8
1	5	1	65	4640595	416	160	497	118	91	8
1	5	1	66	4640636	549	127	497	118	52	8
1	5	1	67	4640691	399	93	497	118	101	7
1	5	1	68	4640734	529	240	497	118	126	7
1	5	1	69	4640775	368	141	497	118	131	7
1	5	1	70	4640815	385	166	497	118	121	7
1	5	1	71	4640869	412	296	497	118	197	6
1	5	1	72	4640911	426	147	497	118	76	6
1	5	1	73	4640952	456	130	497	118	42	6
1	5	1	74	4640993	461	148	497	118	46	6
1	5	1	75	4641044	437	103	497	118	61	5
1	5	1	76	4641088	515	145	497	118	32	5
1	5	1	77	4641129	509	160	497	118	43	5
1	5	1	78	4641170	493	166	497	118	48	5
1	5	1	79	4641223	374	128	497	118	123	4
1	5	1	80	4641266	434	126	497	118	63	4
1	5	1	81	4641308	488	136	497	118	20	4
1	5	1	82	4641348	505	107	497	118	13	4
1	5	1	83	4641406	482	182	497	118	65	3
1	5	1	84	4641447	507	68	497	118	50	3
1	5	1	85	4641489	396	102	497	118	102	3
1	5	1	86	4641532	471	221	497	118	106	3
1	5	1	87	4641586	358	148	497	118	142	2
1	5	1	88	4641628	514	108	497	118	19	2
1	5	1	89	4641670	314	189	497	118	196	2
1	5	1	90	4641710	484	189	497	118	72	2
1	5	1	91	4641763	473	166	497	118	53	1
1	5	1	92	4641804	341	117	497	118	156	1
1	5	1	93	4641846	344	201	497	118	174	1
1	5	1	94	4641888	415	227	497	118	136	1
