subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	5	2	1	4641947	381	224	810	118	441	20
1	5	2	2	4641991	426	161	810	118	386	20
1	5	2	3	4642039	409	116	810	118	401	20
1	5	2	4	4642108	380	125	810	118	430	20
1	5	2	5	4642150	355	247	810	118	472	20
1	5	2	6	4642194	450	103	810	118	360	20
1	5	2	7	4642235	418	167	810	118	395	20
1	5	2	8	4642277	674	125	810	118	136	20
1	5	2	9	4642319	701	108	810	118	109	20
1	5	2	10	4642362	581	38	810	118	242	20
1	5	2	11	4642407	652	168	810	118	165	20
1	5	2	12	4642450	689	39	810	118	144	20
1	5	2	13	4642491	677	85	810	118	137	20
1	5	2	14	4642532	700	97	810	118	111	20
1	5	2	15	4642574	675	210	810	118	163	20
1	5	2	16	4642615	738	21	810	118	120	20
1	5	2	17	4642656	614	172	810	118	203	20
1	5	2	18	4642700	614	-26	810	118	243	20
1	5	2	19	4642754	749	101	810	118	63	19
1	5	2	20	4642795	659	-20	810	118	204	19
1	5	2	21	4642837	680	103	810	118	130	19
1	5	2	22	4642878	646	91	810	118	166	19
1	5	2	23	4642931	705	150	810	118	109	18
1	5	2	24	4642980	722	150	810	118	93	18
1	5	2	25	4643021	607	17	810	118	226	18
1	5	2	26	4643067	549	135	810	118	261	18
1	5	2	27	4643120	513	213	810	118	311	17
1	5	2	28	4643163	674	246	810	118	186	17
1	5	2	29	4643204	639	69	810	118	177	17
1	5	2	30	4643247	591	155	810	118	222	17
1	5	2	31	4643300	723	164	810	118	98	16
1	5	2	32	4643341	711	128	810	118	99	16
1	5	2	33	4643384	722	226	810	118	139	16
1	5	2	34	4643426	677	219	810	118	167	16
1	5	2	35	4643484	307	394	810	118	573	15
1	5	2	36	4643531	168	321	810	118	673	15
1	5	2	37	4643578	371	460	810	118	556	15
1	5	2	38	4643621	442	534	810	118	555	15
1	5	2	39	4643674	470	407	810	118	446	14
1	5	2	40	4643717	507	387	810	118	405	14
1	5	2	41	4643758	436	359	810	118	444	14
1	5	2	42	4643799	525	236	810	118	308	14
1	5	2	43	4643852	540	269	810	118	309	13
1	5	2	44	4643898	535	395	810	118	390	13
1	5	2	45	4643939	576	234	810	118	261	13
1	5	2	46	4643979	552	197	810	118	269	13
1	5	2	47	4644034	578	241	810	118	262	12
1	5	2	48	4644075	794	130	810	118	20	12
1	5	2	49	4644116	798	23	810	118	95	12
1	5	2	50	4644157	643	290	810	118	239	12
1	5	2	51	4644211	421	255	810	118	412	11
1	5	2	52	4644256	607	294	810	118	268	11
1	5	2	53	4644297	595	365	810	118	327	11
1	5	2	54	4644338	469	374	810	118	426	11
1	5	2	55	4644395	506	316	810	118	362	10
1	5	2	56	4644438	533	208	810	118	291	10
1	5	2	57	4644480	538	294	810	118	323	10
1	5	2	58	4644520	627	221	810	118	209	10
1	5	2	59	4644574	753	254	810	118	147	9
1	5	2	60	4644616	618	235	810	118	224	9
1	5	2	61	4644660	552	326	810	118	331	9
1	5	2	62	4644703	679	330	810	118	249	9
1	5	2	63	4644757	674	141	810	118	137	8
1	5	2	64	4644810	748	133	810	118	63	8
1	5	2	65	4644853	714	101	810	118	97	8
1	5	2	66	4644894	660	270	810	118	213	8
1	5	2	67	4644947	684	180	810	118	140	7
1	5	2	68	4644989	352	372	810	118	523	7
1	5	2	69	4645031	431	315	810	118	427	7
1	5	2	70	4645077	213	196	810	118	602	7
1	5	2	71	4645130	638	274	810	118	232	6
1	5	2	72	4645171	612	406	810	118	349	6
1	5	2	73	4645211	591	360	810	118	326	6
1	5	2	74	4645252	641	332	810	118	272	6
1	5	2	75	4645308	652	251	810	118	206	5
1	5	2	76	4645351	711	279	810	118	189	5
1	5	2	77	4645395	806	221	810	118	103	5
1	5	2	78	4645435	721	200	810	118	121	5
1	5	2	79	4645491	798	158	810	118	41	4
1	5	2	80	4645531	692	213	810	118	151	4
1	5	2	81	4645574	646	231	810	118	199	4
1	5	2	82	4645614	720	207	810	118	126	4
1	5	2	83	4645669	561	270	810	118	291	3
1	5	2	84	4645711	495	279	810	118	353	3
1	5	2	85	4645751	452	264	810	118	386	3
1	5	2	86	4645794	316	230	810	118	506	3
1	5	2	87	4645850	599	253	810	118	250	2
1	5	2	88	4645897	639	293	810	118	244	2
1	5	2	89	4645937	586	446	810	118	397	2
1	5	2	90	4645977	534	438	810	118	422	2
1	5	2	91	4646032	925	148	810	118	118	1
1	5	2	92	4646073	786	150	810	118	40	1
1	5	2	93	4646118	749	193	810	118	96	1
1	5	2	94	4646160	778	87	810	118	44	1
