subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	4	16	1	4396593	557	540	654	444	136	20
1	4	16	2	4396645	572	582	654	444	160	20
1	4	16	3	4396687	520	400	654	444	141	20
1	4	16	4	4396730	608	414	654	444	54	20
1	4	16	5	4396775	641	448	654	444	13	20
1	4	16	6	4396821	638	495	654	444	53	20
1	4	16	7	4396862	542	535	654	444	144	20
1	4	16	8	4396902	667	433	654	444	17	20
1	4	16	9	4396943	636	481	654	444	41	20
1	4	16	10	4396983	704	454	654	444	50	20
1	4	16	11	4397023	681	508	654	444	69	20
1	4	16	12	4397065	675	374	654	444	73	20
1	4	16	13	4397105	679	412	654	444	40	20
1	4	16	14	4397148	689	265	654	444	182	20
1	4	16	15	4397190	735	352	654	444	122	20
1	4	16	16	4397230	565	441	654	444	89	20
1	4	16	17	4397271	583	409	654	444	79	20
1	4	16	18	4397314	697	493	654	444	65	20
1	4	16	19	4397357	708	461	654	444	56	20
1	4	16	20	4397411	670	550	654	444	107	19
1	4	16	21	4397456	730	398	654	444	88	19
1	4	16	22	4397514	781	481	654	444	132	19
1	4	16	23	4397565	676	369	654	444	78	19
1	4	16	24	4397630	738	501	654	444	101	18
1	4	16	25	4397679	714	541	654	444	114	18
1	4	16	26	4397728	662	554	654	444	110	18
1	4	16	27	4397777	604	461	654	444	52	18
1	4	16	28	4397839	741	414	654	444	92	17
1	4	16	29	4397895	689	428	654	444	38	17
1	4	16	30	4397941	663	452	654	444	12	17
1	4	16	31	4397998	711	541	654	444	112	16
1	4	16	32	4398042	661	513	654	444	69	16
1	4	16	33	4398087	654	541	654	444	97	16
1	4	16	34	4398132	696	538	654	444	102	16
1	4	16	35	4398195	628	347	654	444	100	15
1	4	16	36	4398236	669	435	654	444	17	15
1	4	16	37	4398279	628	475	654	444	40	15
1	4	16	38	4398319	688	323	654	444	125	15
1	4	16	39	4398373	724	469	654	444	74	14
1	4	16	40	4398414	623	503	654	444	66	14
1	4	16	41	4398455	745	512	654	444	113	14
1	4	16	42	4398496	702	437	654	444	48	14
1	4	16	43	4398550	716	506	654	444	87	13
1	4	16	44	4398620	694	491	654	444	61	13
1	4	16	45	4398664	677	487	654	444	48	13
1	4	16	46	4398718	695	433	654	444	42	12
1	4	16	47	4398764	692	507	654	444	73	12
1	4	16	48	4398805	678	470	654	444	35	12
1	4	16	49	4398864	675	413	654	444	37	12
1	4	16	50	4398924	707	488	654	444	68	11
1	4	16	51	4398970	623	269	654	444	177	11
1	4	16	52	4399011	651	227	654	444	217	11
1	4	16	53	4399051	644	400	654	444	45	11
1	4	16	54	4399221	414	314	654	444	272	10
1	4	16	55	4399267	568	278	654	444	186	10
1	4	16	56	4399320	669	417	654	444	30	9
1	4	16	57	4399362	584	473	654	444	75	9
1	4	16	58	4399405	628	391	654	444	59	9
1	4	16	59	4399444	611	405	654	444	58	9
1	4	16	60	4399498	709	434	654	444	55	8
1	4	16	61	4399544	724	497	654	444	87	8
1	4	16	62	4399588	687	397	654	444	57	8
1	4	16	63	4399630	719	492	654	444	80	8
1	4	16	64	4399684	730	448	654	444	76	7
1	4	16	65	4399727	658	444	654	444	4	7
1	4	16	66	4399770	714	443	654	444	60	7
1	4	16	67	4399811	612	494	654	444	65	7
1	4	16	68	4399865	621	378	654	444	73	6
1	4	16	69	4399906	721	457	654	444	68	6
1	4	16	70	4399949	594	541	654	444	114	6
1	4	16	71	4399991	737	526	654	444	116	6
1	4	16	72	4400044	657	510	654	444	66	5
1	4	16	73	4400085	689	465	654	444	40	5
1	4	16	74	4400125	629	470	654	444	36	5
1	4	16	75	4400167	689	420	654	444	42	5
1	4	16	76	4400219	734	395	654	444	93	4
1	4	16	77	4400263	726	441	654	444	72	4
1	4	16	78	4400304	671	383	654	444	63	4
1	4	16	79	4400344	626	381	654	444	68	4
1	4	16	80	4400398	610	441	654	444	44	3
1	4	16	81	4400439	586	443	654	444	68	3
1	4	16	82	4400481	609	489	654	444	63	3
1	4	16	83	4400521	635	446	654	444	19	3
1	4	16	84	4400575	624	433	654	444	31	2
1	4	16	85	4400618	645	437	654	444	11	2
1	4	16	86	4400823	792	432	654	444	138	1
1	4	16	87	4400864	598	489	654	444	71	1
1	4	16	88	4400905	682	497	654	444	59	1
1	4	16	89	4400946	724	470	654	444	74	1
