subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	5	pursuit	12	1	4819318	pursuit_80%_80%_80%_20%	244	389	811	553	fixation_onset
1	5	pursuit	12	2	4819362	pursuit_80%_80%_80%_20%	439	413	811	553	fixation_onset
1	5	pursuit	12	3	4819403	pursuit_80%_80%_80%_20%	394	406	811	553	fixation_onset
1	5	pursuit	12	4	4819450	pursuit_80%_80%_80%_20%	321	466	811	553	fixation_onset
1	5	pursuit	12	5	4819491	pursuit_80%_80%_80%_20%	463	364	811	553	fixation_onset
1	5	pursuit	12	6	4819531	pursuit_80%_80%_80%_20%	359	434	811	553	fixation_onset
1	5	pursuit	12	7	4819573	pursuit_80%_80%_80%_20%	443	354	811	553	fixation_onset
1	5	pursuit	12	8	4819614	pursuit_80%_80%_80%_20%	380	477	811	553	fixation_onset
1	5	pursuit	12	9	4819656	pursuit_80%_80%_80%_20%	712	504	811	553	fixation_onset
1	5	pursuit	12	10	4819698	pursuit_80%_80%_80%_20%	676	531	811	553	fixation_onset
1	5	pursuit	12	11	4819744	pursuit_80%_80%_80%_20%	854	544	811	553	fixation_onset
1	5	pursuit	12	12	4819786	pursuit_80%_80%_80%_20%	673	572	811	553	fixation_onset
1	5	pursuit	12	13	4819830	pursuit_80%_80%_80%_20%	793	513	811	553	fixation_onset
1	5	pursuit	12	14	4819871	pursuit_80%_80%_80%_20%	742	520	811	553	fixation_onset
1	5	pursuit	12	15	4819912	pursuit_80%_80%_80%_20%	777	611	811	553	fixation_onset
1	5	pursuit	12	16	4819957	pursuit_80%_80%_80%_20%	848	560	811	553	fixation_onset
1	5	pursuit	12	17	4819996	pursuit_80%_80%_80%_20%	771	566	811	553	fixation_onset
1	5	pursuit	12	18	4820038	pursuit_80%_80%_80%_20%	815	600	811	553	fixation_onset
1	5	pursuit	12	19	4820079	pursuit_80%_80%_80%_20%	654	550	811	553	fixation_onset
1	5	pursuit	12	20	4820139	pursuit_80%_80%_80%_20%	812	543	811	553	fixation_onset
1	5	pursuit	12	21	4820182	pursuit_80%_80%_80%_20%	840	543	811	553	fixation_onset
1	5	pursuit	12	22	4820226	pursuit_80%_80%_80%_20%	794	570	811	553	fixation_onset
1	5	pursuit	12	23	4820272	pursuit_80%_80%_80%_20%	806	535	811	553	fixation_onset
1	5	pursuit	12	24	4820317	pursuit_80%_80%_80%_20%	744	552	811	553	fixation_onset
1	5	pursuit	12	25	4820361	pursuit_80%_80%_80%_20%	789	534	811	553	fixation_onset
1	5	pursuit	12	26	4820403	pursuit_80%_80%_80%_20%	754	620	811	553	fixation_onset
1	5	pursuit	12	27	4820443	pursuit_80%_80%_80%_20%	849	524	811	553	fixation_onset
1	5	pursuit	12	28	4820485	pursuit_80%_80%_80%_20%	872	549	811	553	fixation_onset
1	5	pursuit	12	29	4820527	pursuit_80%_80%_80%_20%	798	593	811	553	fixation_onset
1	5	pursuit	12	30	4820570	pursuit_80%_80%_80%_20%	762	513	811	553	fixation_onset
1	5	pursuit	12	31	4820611	pursuit_80%_80%_80%_20%	880	566	811	553	fixation_onset
1	5	pursuit	12	32	4820654	pursuit_80%_80%_80%_20%	747	592	811	553	fixation_onset
1	5	pursuit	12	33	4820719	pursuit_80%_80%_80%_20%	739	605	811	553	fixation_onset
1	5	pursuit	12	34	4820767	pursuit_80%_80%_80%_20%	753	560	811	553	fixation_onset
1	5	pursuit	12	35	4820808	pursuit_80%_80%_80%_20%	713	527	811	553	fixation_onset
1	5	pursuit	12	36	4820847	pursuit_80%_80%_80%_20%	829	588	811	553	fixation_onset
1	5	pursuit	12	37	4820892	pursuit_80%_80%_80%_20%	744	571	811	553	pursuit_start
1	5	pursuit	12	38	4820938	pursuit_80%_80%_80%_20%	743	522	811	553	pursuit_start
1	5	pursuit	12	39	4820979	pursuit_80%_80%_80%_20%	819	595	811	533	pursuit_start
1	5	pursuit	12	40	4821021	pursuit_80%_80%_80%_20%	659	549	811	533	pursuit_start
1	5	pursuit	12	41	4821063	pursuit_80%_80%_80%_20%	836	545	811	515	pursuit_start
1	5	pursuit	12	42	4821104	pursuit_80%_80%_80%_20%	800	588	811	515	pursuit_start
1	5	pursuit	12	43	4821147	pursuit_80%_80%_80%_20%	700	544	811	497	pursuit_start
1	5	pursuit	12	44	4821190	pursuit_80%_80%_80%_20%	793	568	811	497	pursuit_start
1	5	pursuit	12	45	4821231	pursuit_80%_80%_80%_20%	769	579	811	479	pursuit_start
1	5	pursuit	12	46	4821274	pursuit_80%_80%_80%_20%	765	560	811	479	pursuit_start
1	5	pursuit	12	47	4821315	pursuit_80%_80%_80%_20%	810	508	811	461	pursuit_start
1	5	pursuit	12	48	4821357	pursuit_80%_80%_80%_20%	756	507	811	461	pursuit_start
1	5	pursuit	12	49	4821399	pursuit_80%_80%_80%_20%	752	570	811	443	pursuit_start
1	5	pursuit	12	50	4821440	pursuit_80%_80%_80%_20%	702	502	811	443	pursuit_start
1	5	pursuit	12	51	4821481	pursuit_80%_80%_80%_20%	763	550	811	425	pursuit_start
1	5	pursuit	12	52	4821523	pursuit_80%_80%_80%_20%	690	459	811	425	pursuit_start
1	5	pursuit	12	53	4821565	pursuit_80%_80%_80%_20%	655	406	811	406	pursuit_start
1	5	pursuit	12	54	4821607	pursuit_80%_80%_80%_20%	745	295	811	406	pursuit_start
1	5	pursuit	12	55	4821656	pursuit_80%_80%_80%_20%	853	303	811	388	pursuit_start
1	5	pursuit	12	56	4821697	pursuit_80%_80%_80%_20%	769	330	811	388	pursuit_start
1	5	pursuit	12	57	4821743	pursuit_80%_80%_80%_20%	865	362	811	369	pursuit_start
1	5	pursuit	12	58	4821786	pursuit_80%_80%_80%_20%	682	310	811	369	pursuit_start
1	5	pursuit	12	59	4821829	pursuit_80%_80%_80%_20%	751	320	811	350	pursuit_start
1	5	pursuit	12	60	4821871	pursuit_80%_80%_80%_20%	733	230	811	350	pursuit_start
1	5	pursuit	12	61	4821914	pursuit_80%_80%_80%_20%	844	245	811	331	pursuit_start
1	5	pursuit	12	62	4821958	pursuit_80%_80%_80%_20%	868	158	811	331	pursuit_start
1	5	pursuit	12	63	4821999	pursuit_80%_80%_80%_20%	865	132	811	312	pursuit_start
1	5	pursuit	12	64	4822042	pursuit_80%_80%_80%_20%	778	189	811	312	pursuit_start
1	5	pursuit	12	65	4822087	pursuit_80%_80%_80%_20%	779	156	811	294	pursuit_start
1	5	pursuit	12	66	4822128	pursuit_80%_80%_80%_20%	718	119	811	294	pursuit_start
1	5	pursuit	12	67	4822172	pursuit_80%_80%_80%_20%	739	110	811	276	pursuit_start
1	5	pursuit	12	68	4822213	pursuit_80%_80%_80%_20%	691	143	811	276	pursuit_start
1	5	pursuit	12	69	4822254	pursuit_80%_80%_80%_20%	710	165	811	257	pursuit_start
1	5	pursuit	12	70	4822296	pursuit_80%_80%_80%_20%	682	232	811	257	pursuit_start
1	5	pursuit	12	71	4822337	pursuit_80%_80%_80%_20%	701	136	811	239	pursuit_start
1	5	pursuit	12	72	4822377	pursuit_80%_80%_80%_20%	635	208	811	239	pursuit_start
1	5	pursuit	12	73	4822421	pursuit_80%_80%_80%_20%	729	192	811	221	pursuit_start
1	5	pursuit	12	74	4822462	pursuit_80%_80%_80%_20%	746	151	811	221	pursuit_start
1	5	pursuit	12	75	4822504	pursuit_80%_80%_80%_20%	787	127	811	203	pursuit_start
1	5	pursuit	12	76	4822550	pursuit_80%_80%_80%_20%	614	263	811	203	pursuit_start
1	5	pursuit	12	77	4822592	pursuit_80%_80%_80%_20%	762	175	811	184	pursuit_start
1	5	pursuit	12	78	4822636	pursuit_80%_80%_80%_20%	767	60	811	184	pursuit_start
1	5	pursuit	12	79	4822678	pursuit_80%_80%_80%_20%	782	162	811	165	pursuit_start
1	5	pursuit	12	80	4822721	pursuit_80%_80%_80%_20%	799	193	811	165	pursuit_start
1	5	pursuit	12	81	4822762	pursuit_80%_80%_80%_20%	758	219	811	147	pursuit_start
1	5	pursuit	12	82	4822803	pursuit_80%_80%_80%_20%	735	145	811	147	pursuit_start
1	5	pursuit	12	83	4822845	pursuit_80%_80%_80%_20%	778	184	811	129	pursuit_start
1	5	pursuit	12	84	4822886	pursuit_80%_80%_80%_20%	775	157	811	129	pursuit_start
1	5	pursuit	12	85	4822928	pursuit_80%_80%_80%_20%	820	165	811	119	pursuit_end
1	5	pursuit	12	86	4822975	pursuit_80%_80%_80%_20%	868	26	811	119	pursuit_end
1	5	pursuit	12	87	4823014	pursuit_80%_80%_80%_20%	889	7	811	119	pursuit_end
1	5	pursuit	12	88	4823055	pursuit_80%_80%_80%_20%	656	34	811	119	pursuit_end
1	5	pursuit	12	89	4823096	pursuit_80%_80%_80%_20%	855	75	811	119	pursuit_end
1	5	pursuit	12	90	4823136	pursuit_80%_80%_80%_20%	843	29	811	119	pursuit_end
1	5	pursuit	12	91	4823178	pursuit_80%_80%_80%_20%	816	69	811	119	pursuit_end
1	5	pursuit	12	92	4823221	pursuit_80%_80%_80%_20%	768	46	811	119	pursuit_end
1	5	pursuit	12	93	4823262	pursuit_80%_80%_80%_20%	939	43	811	119	pursuit_end
1	5	pursuit	12	94	4823304	pursuit_80%_80%_80%_20%	852	19	811	119	pursuit_end
1	5	pursuit	12	95	4823345	pursuit_80%_80%_80%_20%	884	39	811	119	pursuit_end
1	5	pursuit	12	96	4823402	pursuit_80%_80%_80%_20%	844	13	811	119	pursuit_end
1	5	pursuit	12	97	4823446	pursuit_80%_80%_80%_20%	970	-6	811	119	pursuit_end
