subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	6	25	1	5262283	316	288	654	444	372	20
1	6	25	2	5262326	338	202	654	444	398	20
1	6	25	3	5262368	291	233	654	444	419	20
1	6	25	4	5262411	413	251	654	444	308	20
1	6	25	5	5262453	411	222	654	444	329	20
1	6	25	6	5262494	388	288	654	444	308	20
1	6	25	7	5262537	630	422	654	444	32	20
1	6	25	8	5262580	636	380	654	444	66	20
1	6	25	9	5262621	677	456	654	444	25	20
1	6	25	10	5262662	553	489	654	444	110	20
1	6	25	11	5262705	521	492	654	444	141	20
1	6	25	12	5262745	578	529	654	444	114	20
1	6	25	13	5262785	570	525	654	444	116	20
1	6	25	14	5262827	579	497	654	444	91	20
1	6	25	15	5262868	564	532	654	444	125	20
1	6	25	16	5262909	536	568	654	444	171	20
1	6	25	17	5262951	617	534	654	444	97	20
1	6	25	18	5262991	607	541	654	444	107	20
1	6	25	19	5263032	593	509	654	444	89	20
1	6	25	20	5263085	597	492	654	444	74	19
1	6	25	21	5263127	623	503	654	444	66	19
1	6	25	22	5263168	559	532	654	444	129	19
1	6	25	23	5263208	616	579	654	444	140	19
1	6	25	24	5263265	561	501	654	444	109	18
1	6	25	25	5263308	639	532	654	444	89	18
1	6	25	26	5263353	542	522	654	444	136	18
1	6	25	27	5263394	636	575	654	444	132	18
1	6	25	28	5263446	630	573	654	444	131	17
1	6	25	29	5263488	604	517	654	444	88	17
1	6	25	30	5263535	613	548	654	444	111	17
1	6	25	31	5263577	603	559	654	444	125	17
1	6	25	32	5263630	547	460	654	444	108	16
1	6	25	33	5263672	770	396	654	444	125	16
1	6	25	34	5263715	574	393	654	444	94	16
1	6	25	35	5263755	670	448	654	444	16	16
1	6	25	36	5263816	720	428	654	444	67	15
1	6	25	37	5263861	579	478	654	444	82	15
1	6	25	38	5263904	700	345	654	444	109	15
1	6	25	39	5263947	581	482	654	444	82	15
1	6	25	40	5264001	582	462	654	444	74	14
1	6	25	41	5264046	611	457	654	444	44	14
1	6	25	42	5264085	564	499	654	444	105	14
1	6	25	43	5264125	553	479	654	444	106	14
1	6	25	44	5264182	588	471	654	444	71	13
1	6	25	45	5264222	578	455	654	444	76	13
1	6	25	46	5264264	682	381	654	444	68	13
1	6	25	47	5264304	663	480	654	444	37	13
1	6	25	48	5264357	711	504	654	444	82	12
1	6	25	49	5264407	730	409	654	444	83	12
1	6	25	50	5264448	711	439	654	444	57	12
1	6	25	51	5264490	774	446	654	444	120	12
1	6	25	52	5264547	716	426	654	444	64	11
1	6	25	53	5264592	696	402	654	444	59	11
1	6	25	54	5264634	518	498	654	444	146	11
1	6	25	55	5264674	607	457	654	444	48	11
1	6	25	56	5264727	586	431	654	444	69	10
1	6	25	57	5264768	545	510	654	444	127	10
1	6	25	58	5264810	577	500	654	444	95	10
1	6	25	59	5264851	582	521	654	444	105	10
1	6	25	60	5264903	581	508	654	444	97	9
1	6	25	61	5264945	771	409	654	444	122	9
1	6	25	62	5264985	664	402	654	444	43	9
1	6	25	63	5265027	812	358	654	444	179	9
1	6	25	64	5265080	678	483	654	444	45	8
1	6	25	65	5265122	698	437	654	444	44	8
1	6	25	66	5265163	755	466	654	444	103	8
1	6	25	67	5265203	715	355	654	444	107	8
1	6	25	68	5265257	698	416	654	444	52	7
1	6	25	69	5265336	692	393	654	444	63	7
1	6	25	70	5265392	567	522	654	444	116	7
1	6	25	71	5265444	597	426	654	444	59	6
1	6	25	72	5265487	641	453	654	444	15	6
1	6	25	73	5265531	653	413	654	444	31	6
1	6	25	74	5265573	666	527	654	444	83	6
1	6	25	75	5265625	587	535	654	444	113	5
1	6	25	76	5265669	677	484	654	444	46	5
1	6	25	77	5265711	746	426	654	444	93	5
1	6	25	78	5265751	670	376	654	444	69	5
1	6	25	79	5265807	667	345	654	444	99	4
1	6	25	80	5265849	663	425	654	444	21	4
1	6	25	81	5265890	611	591	654	444	153	4
1	6	25	82	5265931	650	500	654	444	56	4
1	6	25	83	5265985	660	398	654	444	46	3
1	6	25	84	5266027	703	407	654	444	61	3
1	6	25	85	5266067	807	377	654	444	167	3
1	6	25	86	5266107	703	443	654	444	49	3
1	6	25	87	5266166	718	414	654	444	70	2
1	6	25	88	5266238	674	389	654	444	58	2
1	6	25	89	5266284	604	394	654	444	70	2
1	6	25	90	5266339	664	388	654	444	56	1
1	6	25	91	5266384	649	517	654	444	73	1
1	6	25	92	5266425	720	474	654	444	72	1
1	6	25	93	5266466	633	438	654	444	21	1
