subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	1	9	1	98620	220	104	183	335	233	20
1	1	9	2	98647	173	172	183	335	163	20
1	1	9	3	98668	229	190	183	335	152	20
1	1	9	4	98686	229	190	183	335	152	20
1	1	9	5	98706	187	103	183	335	232	20
1	1	9	6	98724	109	63	183	335	281	20
1	1	9	7	98744	195	117	183	335	218	20
1	1	9	8	98763	140	248	183	335	97	20
1	1	9	9	98783	204	333	183	335	21	20
1	1	9	10	98802	209	260	183	335	79	20
1	1	9	11	98823	163	149	183	335	187	20
1	1	9	12	98842	186	-52	183	335	387	20
1	1	9	13	98861	379	-257	183	335	623	20
1	1	9	14	98882	365	113	183	335	287	20
1	1	9	15	98902	180	-110	183	335	445	20
1	1	9	16	98923	326	78	183	335	294	20
1	1	9	17	98943	196	192	183	335	143	20
1	1	9	18	98962	146	98	183	335	239	20
1	1	9	19	98981	152	288	183	335	56	20
1	1	9	20	99003	259	209	183	335	147	20
1	1	9	21	99023	270	263	183	335	112	20
1	1	9	22	99043	236	232	183	335	115	20
1	1	9	23	99062	299	219	183	335	164	20
1	1	9	24	99082	299	219	183	335	164	20
1	1	9	25	99101	357	93	183	335	298	20
1	1	9	26	99121	357	93	183	335	298	20
1	1	9	27	99139	522	52	183	335	441	20
1	1	9	28	99159	522	52	183	335	441	20
1	1	9	29	99180	621	73	183	335	510	20
1	1	9	30	99199	580	-10	183	335	525	20
1	1	9	31	99219	605	36	183	335	517	20
1	1	9	32	99239	626	118	183	335	493	20
1	1	9	33	99259	509	63	183	335	424	20
1	1	9	34	99299	502	67	183	335	416	20
1	1	9	35	99319	434	134	183	335	321	20
1	1	9	36	99338	515	176	183	335	368	20
1	1	9	37	99359	472	183	183	335	326	20
1	1	9	38	99381	495	143	183	335	366	20
1	1	9	39	99411	321	248	183	335	163	19
1	1	9	40	99433	544	110	183	335	425	19
1	1	9	41	99454	460	104	183	335	360	19
1	1	9	42	99475	462	191	183	335	313	19
1	1	9	43	99496	492	291	183	335	312	19
1	1	9	44	99515	432	231	183	335	269	19
1	1	9	45	99548	352	185	183	335	225	18
1	1	9	46	99571	352	185	183	335	225	18
1	1	9	47	99593	258	259	183	335	106	18
1	1	9	48	99614	229	171	183	335	170	18
1	1	9	49	99634	157	355	183	335	32	18
1	1	9	50	99654	249	286	183	335	82	18
1	1	9	51	99686	214	309	183	335	40	17
1	1	9	52	99706	210	332	183	335	27	17
1	1	9	53	99725	206	457	183	335	124	17
1	1	9	54	99745	206	457	183	335	124	17
1	1	9	55	99764	106	403	183	335	102	17
1	1	9	56	99784	106	403	183	335	102	17
1	1	9	57	99803	187	407	183	335	72	17
1	1	9	58	99835	356	213	183	335	211	16
1	1	9	59	99855	180	169	183	335	166	16
1	1	9	60	99875	239	238	183	335	112	16
1	1	9	61	99897	294	152	183	335	214	16
1	1	9	62	99916	214	453	183	335	122	16
1	1	9	63	99935	426	460	183	335	273	16
1	1	9	64	99967	216	321	183	335	35	15
1	1	9	65	99991	281	356	183	335	100	15
1	1	9	66	100012	216	475	183	335	143	15
1	1	9	67	100031	237	453	183	335	129	15
1	1	9	68	100050	118	384	183	335	81	15
1	1	9	69	100070	61	289	183	335	130	15
1	1	9	70	100108	61	421	183	335	149	14
1	1	9	71	100130	245	311	183	335	66	14
1	1	9	72	100149	165	179	183	335	157	14
1	1	9	73	100168	153	275	183	335	67	14
1	1	9	74	100189	183	207	183	335	128	14
1	1	9	75	100207	191	220	183	335	115	14
1	1	9	76	100239	232	110	183	335	230	13
1	1	9	77	100259	140	209	183	335	133	13
1	1	9	78	100278	196	288	183	335	48	13
1	1	9	79	100299	258	259	183	335	106	13
1	1	9	80	100318	118	180	183	335	168	13
1	1	9	81	100337	118	180	183	335	168	13
1	1	9	82	100373	167	317	183	335	24	12
1	1	9	83	100394	401	65	183	335	347	12
1	1	9	84	100413	220	282	183	335	64	12
1	1	9	85	100434	220	282	183	335	64	12
1	1	9	86	100453	233	461	183	335	135	12
1	1	9	87	100473	233	461	183	335	135	12
1	1	9	88	100503	194	341	183	335	12	11
1	1	9	89	100525	256	219	183	335	137	11
1	1	9	90	100547	142	414	183	335	89	11
1	1	9	91	100568	142	414	183	335	89	11
1	1	9	92	100587	301	303	183	335	122	11
1	1	9	93	100607	350	385	183	335	174	11
1	1	9	94	100642	183	173	183	335	162	10
1	1	9	95	100663	187	318	183	335	17	10
1	1	9	96	100683	296	164	183	335	204	10
1	1	9	97	100704	223	263	183	335	82	10
1	1	9	98	100723	223	263	183	335	82	10
1	1	9	99	100742	302	178	183	335	197	10
