subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	6	simple	10	1	5330701	dot_80%_50%	448	364	0	0	fixation_onset
1	6	simple	10	2	5330748	dot_80%_50%	388	245	0	0	fixation_onset
1	6	simple	10	3	5330787	dot_80%_50%	368	79	0	0	fixation_onset
1	6	simple	10	4	5330829	dot_80%_50%	511	262	0	0	fixation_onset
1	6	simple	10	5	5330870	dot_80%_50%	460	245	0	0	fixation_onset
1	6	simple	10	6	5330910	dot_80%_50%	515	203	0	0	fixation_onset
1	6	simple	10	7	5330951	dot_80%_50%	436	268	0	0	fixation_onset
1	6	simple	10	8	5330991	dot_80%_50%	521	285	0	0	fixation_onset
1	6	simple	10	9	5331031	dot_80%_50%	501	262	0	0	fixation_onset
1	6	simple	10	10	5331072	dot_80%_50%	539	163	0	0	fixation_onset
1	6	simple	10	11	5331114	dot_80%_50%	484	386	0	0	fixation_onset
1	6	simple	10	12	5331155	dot_80%_50%	400	313	0	0	fixation_onset
1	6	simple	10	13	5331195	dot_80%_50%	445	282	0	0	fixation_onset
1	6	simple	10	14	5331237	dot_80%_50%	397	387	0	0	fixation_onset
1	6	simple	10	15	5331277	dot_80%_50%	432	384	0	0	fixation_onset
1	6	simple	10	16	5331318	dot_80%_50%	410	399	0	0	fixation_onset
1	6	simple	10	17	5331358	dot_80%_50%	431	387	0	0	fixation_onset
1	6	simple	10	18	5331400	dot_80%_50%	405	356	0	0	fixation_onset
1	6	simple	10	19	5331440	dot_80%_50%	546	349	0	0	fixation_onset
1	6	simple	10	20	5331484	dot_80%_50%	447	365	0	0	fixation_onset
1	6	simple	10	21	5331526	dot_80%_50%	491	348	0	0	fixation_onset
1	6	simple	10	22	5331571	dot_80%_50%	378	327	0	0	fixation_onset
1	6	simple	10	23	5331618	dot_80%_50%	484	245	0	0	fixation_onset
1	6	simple	10	24	5331665	dot_80%_50%	466	292	0	0	fixation_onset
1	6	simple	10	25	5331709	dot_80%_50%	482	320	0	0	fixation_onset
1	6	simple	10	26	5331752	dot_80%_50%	487	352	0	0	fixation_onset
1	6	simple	10	27	5331796	dot_80%_50%	556	252	0	0	fixation_onset
1	6	simple	10	28	5331837	dot_80%_50%	501	264	0	0	fixation_onset
1	6	simple	10	29	5331878	dot_80%_50%	547	309	0	0	fixation_onset
1	6	simple	10	30	5331919	dot_80%_50%	437	311	0	0	fixation_onset
1	6	simple	10	31	5331961	dot_80%_50%	444	311	0	0	fixation_onset
1	6	simple	10	32	5332002	dot_80%_50%	459	350	0	0	fixation_onset
1	6	simple	10	33	5332044	dot_80%_50%	609	348	0	0	fixation_onset
1	6	simple	10	34	5332084	dot_80%_50%	608	308	0	0	fixation_onset
1	6	simple	10	35	5332125	dot_80%_50%	550	354	0	0	fixation_onset
1	6	simple	10	36	5332166	dot_80%_50%	569	390	0	0	fixation_onset
1	6	simple	10	37	5332207	dot_80%_50%	544	345	0	0	fixation_onset
1	6	simple	10	38	5332249	dot_80%_50%	564	401	0	0	fixation_offset
1	6	simple	10	39	5332291	dot_80%_50%	598	325	0	0	fixation_offset
1	6	simple	10	40	5332332	dot_80%_50%	586	325	0	0	fixation_offset
1	6	simple	10	41	5332375	dot_80%_50%	563	284	0	0	fixation_offset
1	6	simple	10	42	5332416	dot_80%_50%	507	404	0	0	fixation_offset
1	6	simple	10	43	5332456	dot_80%_50%	602	358	0	0	fixation_offset
1	6	simple	10	44	5332498	dot_80%_50%	569	353	0	0	fixation_offset
1	6	simple	10	45	5332542	dot_80%_50%	573	313	0	0	fixation_offset
1	6	simple	10	46	5332584	dot_80%_50%	593	323	0	0	fixation_offset
1	6	simple	10	47	5332626	dot_80%_50%	470	369	0	0	fixation_offset
1	6	simple	10	48	5332667	dot_80%_50%	522	327	0	0	fixation_offset
1	6	simple	10	49	5332707	dot_80%_50%	521	304	0	0	fixation_offset
