subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	2	11	1	362956	815	285	497	335	321	20
1	2	11	2	362999	754	293	497	335	260	20
1	2	11	3	363039	721	328	497	335	224	20
1	2	11	4	363082	742	359	497	335	246	20
1	2	11	5	363132	755	243	497	335	273	20
1	2	11	6	363178	754	301	497	335	259	20
1	2	11	7	363220	501	425	497	335	90	20
1	2	11	8	363261	548	283	497	335	72	20
1	2	11	9	363302	437	320	497	335	61	20
1	2	11	10	363344	512	266	497	335	70	20
1	2	11	11	363385	416	266	497	335	106	20
1	2	11	12	363426	430	411	497	335	101	20
1	2	11	13	363603	510	389	497	335	55	20
1	2	11	14	363648	545	311	497	335	53	20
1	2	11	15	363692	565	272	497	335	92	20
1	2	11	16	363733	496	402	497	335	67	20
1	2	11	17	363787	541	330	497	335	44	19
1	2	11	18	363829	586	417	497	335	121	19
1	2	11	19	363870	547	412	497	335	91	19
1	2	11	20	363912	606	440	497	335	151	19
1	2	11	21	363965	534	382	497	335	59	18
1	2	11	22	364008	523	262	497	335	77	18
1	2	11	23	364048	596	214	497	335	156	18
1	2	11	24	364089	546	317	497	335	52	18
1	2	11	25	364142	665	288	497	335	174	17
1	2	11	26	364185	488	325	497	335	13	17
1	2	11	27	364226	550	261	497	335	91	17
1	2	11	28	364268	632	402	497	335	150	17
1	2	11	29	364323	441	344	497	335	56	16
1	2	11	30	364364	529	270	497	335	72	16
1	2	11	31	364406	590	377	497	335	102	16
1	2	11	32	364447	617	375	497	335	126	16
1	2	11	33	364500	509	333	497	335	12	15
1	2	11	34	364542	667	328	497	335	170	15
1	2	11	35	364583	656	355	497	335	160	15
1	2	11	36	364624	603	312	497	335	108	15
1	2	11	37	364702	598	313	497	335	103	14
1	2	11	38	364745	626	281	497	335	139	14
1	2	11	39	364787	664	266	497	335	180	14
1	2	11	40	364838	500	339	497	335	5	13
1	2	11	41	364881	585	345	497	335	88	13
1	2	11	42	364923	589	364	497	335	96	13
1	2	11	43	364964	578	253	497	335	115	13
1	2	11	44	365018	539	340	497	335	42	12
1	2	11	45	365213	481	200	497	335	135	12
1	2	11	46	365258	674	419	497	335	195	12
1	2	11	47	365310	459	424	497	335	96	11
1	2	11	48	365353	606	344	497	335	109	11
1	2	11	49	365393	583	386	497	335	99	11
1	2	11	50	365436	547	357	497	335	54	11
1	2	11	51	365488	534	350	497	335	39	10
1	2	11	52	365530	636	349	497	335	139	10
1	2	11	53	365573	453	241	497	335	103	10
1	2	11	54	365625	562	358	497	335	68	10
1	2	11	55	365694	524	470	497	335	137	9
1	2	11	56	365736	582	330	497	335	85	9
1	2	11	57	365777	534	338	497	335	37	9
1	2	11	58	365818	486	351	497	335	19	9
1	2	11	59	365874	528	351	497	335	34	8
1	2	11	60	365917	430	318	497	335	69	8
1	2	11	61	365958	513	308	497	335	31	8
1	2	11	62	365999	394	407	497	335	125	8
1	2	11	63	366052	318	400	497	335	190	7
1	2	11	64	366094	490	410	497	335	75	7
1	2	11	65	366135	504	411	497	335	76	7
1	2	11	66	366175	446	336	497	335	51	7
1	2	11	67	366228	464	266	497	335	76	6
1	2	11	68	366270	497	324	497	335	11	6
1	2	11	69	366311	380	256	497	335	141	6
1	2	11	70	366352	453	318	497	335	47	6
1	2	11	71	366405	431	338	497	335	66	5
1	2	11	72	366446	485	312	497	335	25	5
1	2	11	73	366487	419	295	497	335	87	5
1	2	11	74	366528	456	391	497	335	69	5
1	2	11	75	366586	602	219	497	335	156	4
1	2	11	76	366629	550	338	497	335	53	4
1	2	11	77	366798	487	356	497	335	23	4
1	2	11	78	366843	414	317	497	335	84	4
1	2	11	79	366896	529	295	497	335	51	3
1	2	11	80	366939	603	311	497	335	108	3
1	2	11	81	366980	545	369	497	335	58	3
1	2	11	82	367020	598	326	497	335	101	3
1	2	11	83	367073	591	451	497	335	149	2
1	2	11	84	367114	545	310	497	335	54	2
1	2	11	85	367156	459	407	497	335	81	2
1	2	11	86	367196	563	345	497	335	66	2
1	2	11	87	367252	503	313	497	335	22	1
1	2	11	88	367293	509	347	497	335	16	1
1	2	11	89	367334	535	316	497	335	42	1
1	2	11	90	367379	578	314	497	335	83	1
