subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	2	18	1	394194	460	437	497	552	120	20
1	2	18	2	394237	437	321	497	552	238	20
1	2	18	3	394280	436	328	497	552	232	20
1	2	18	4	394322	428	318	497	552	243	20
1	2	18	5	394362	386	229	497	552	341	20
1	2	18	6	394404	432	256	497	552	303	20
1	2	18	7	394445	467	242	497	552	311	20
1	2	18	8	394485	429	226	497	552	333	20
1	2	18	9	394526	441	407	497	552	155	20
1	2	18	10	394569	494	416	497	552	136	20
1	2	18	11	394611	420	506	497	552	89	20
1	2	18	12	394653	494	512	497	552	40	20
1	2	18	13	394697	397	529	497	552	102	20
1	2	18	14	394739	526	583	497	552	42	20
1	2	18	15	394779	573	506	497	552	88	20
1	2	18	16	394822	535	500	497	552	64	20
1	2	18	17	394863	507	556	497	552	10	20
1	2	18	18	394902	640	493	497	552	154	20
1	2	18	19	394947	549	543	497	552	52	20
1	2	18	20	394999	574	477	497	552	107	19
1	2	18	21	395042	533	637	497	552	92	19
1	2	18	22	395084	514	397	497	552	155	19
1	2	18	23	395124	635	506	497	552	145	19
1	2	18	24	395181	632	524	497	552	137	18
1	2	18	25	395225	487	538	497	552	17	18
1	2	18	26	395397	511	346	497	552	206	18
1	2	18	27	395441	362	362	497	552	233	18
1	2	18	28	395494	583	402	497	552	172	17
1	2	18	29	395536	491	482	497	552	70	17
1	2	18	30	395580	366	480	497	552	149	17
1	2	18	31	395620	388	476	497	552	132	17
1	2	18	32	395675	540	508	497	552	61	16
1	2	18	33	395720	570	529	497	552	76	16
1	2	18	34	395765	603	528	497	552	108	16
1	2	18	35	395806	553	489	497	552	84	16
1	2	18	36	395859	620	570	497	552	124	15
1	2	18	37	395902	571	585	497	552	81	15
1	2	18	38	395943	609	523	497	552	115	15
1	2	18	39	395983	562	555	497	552	65	15
1	2	18	40	396036	569	627	497	552	103	14
1	2	18	41	396078	589	538	497	552	93	14
1	2	18	42	396145	541	614	497	552	76	14
1	2	18	43	396186	501	563	497	552	11	14
1	2	18	44	396240	478	441	497	552	112	13
1	2	18	45	396281	586	447	497	552	137	13
1	2	18	46	396322	569	661	497	552	130	13
1	2	18	47	396364	565	669	497	552	135	13
1	2	18	48	396416	505	562	497	552	12	12
1	2	18	49	396459	489	506	497	552	46	12
1	2	18	50	396499	462	625	497	552	80	12
1	2	18	51	396540	555	546	497	552	58	12
1	2	18	52	396595	510	525	497	552	29	11
1	2	18	53	396638	573	647	497	552	121	11
1	2	18	54	396682	496	421	497	552	131	11
1	2	18	55	396727	482	515	497	552	39	11
1	2	18	56	396781	510	419	497	552	133	10
1	2	18	57	396822	512	456	497	552	97	10
1	2	18	58	396994	638	335	497	552	258	10
1	2	18	59	397038	418	330	497	552	235	10
1	2	18	60	397092	627	414	497	552	189	9
1	2	18	61	397134	465	432	497	552	124	9
1	2	18	62	397174	532	492	497	552	69	9
1	2	18	63	397216	524	387	497	552	167	9
1	2	18	64	397268	546	459	497	552	105	8
1	2	18	65	397311	574	505	497	552	90	8
1	2	18	66	397351	651	595	497	552	159	8
1	2	18	67	397392	556	553	497	552	59	8
1	2	18	68	397446	576	543	497	552	79	7
1	2	18	69	397492	556	438	497	552	128	7
1	2	18	70	397535	502	488	497	552	64	7
1	2	18	71	397576	479	444	497	552	109	7
1	2	18	72	397633	510	510	497	552	43	6
1	2	18	73	397677	486	551	497	552	11	6
1	2	18	74	397721	497	546	497	552	6	6
1	2	18	75	397768	537	382	497	552	174	6
1	2	18	76	397820	513	518	497	552	37	5
1	2	18	77	397863	567	520	497	552	76	5
1	2	18	78	397904	594	497	497	552	111	5
1	2	18	79	397944	612	464	497	552	144	5
1	2	18	80	397997	587	444	497	552	140	4
1	2	18	81	398039	532	519	497	552	48	4
1	2	18	82	398081	568	442	497	552	130	4
1	2	18	83	398121	564	524	497	552	72	4
1	2	18	84	398177	562	516	497	552	74	3
1	2	18	85	398219	493	598	497	552	46	3
1	2	18	86	398260	550	575	497	552	57	3
1	2	18	87	398301	577	552	497	552	80	3
1	2	18	88	398354	565	508	497	552	80	2
1	2	18	89	398399	559	533	497	552	64	2
1	2	18	90	398573	654	290	497	552	305	2
1	2	18	91	398617	627	456	497	552	161	2
1	2	18	92	398670	563	502	497	552	82	1
1	2	18	93	398715	605	449	497	552	149	1
1	2	18	94	398756	551	486	497	552	85	1
1	2	18	95	398796	529	473	497	552	85	1
