subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	3	pursuit	15	1	4265743	pursuit_80%_80%_20%_80%	267	383	811	553	fixation_onset
1	3	pursuit	15	2	4265793	pursuit_80%_80%_20%_80%	255	362	811	553	fixation_onset
1	3	pursuit	15	3	4265849	pursuit_80%_80%_20%_80%	255	294	811	553	fixation_onset
1	3	pursuit	15	4	4265890	pursuit_80%_80%_20%_80%	259	279	811	553	fixation_onset
1	3	pursuit	15	5	4265931	pursuit_80%_80%_20%_80%	320	220	811	553	fixation_onset
1	3	pursuit	15	6	4265972	pursuit_80%_80%_20%_80%	297	219	811	553	fixation_onset
1	3	pursuit	15	7	4266012	pursuit_80%_80%_20%_80%	285	183	811	553	fixation_onset
1	3	pursuit	15	8	4266054	pursuit_80%_80%_20%_80%	730	500	811	553	fixation_onset
1	3	pursuit	15	9	4266110	pursuit_80%_80%_20%_80%	728	474	811	553	fixation_onset
1	3	pursuit	15	10	4266156	pursuit_80%_80%_20%_80%	665	489	811	553	fixation_onset
1	3	pursuit	15	11	4266197	pursuit_80%_80%_20%_80%	603	543	811	553	fixation_onset
1	3	pursuit	15	12	4266239	pursuit_80%_80%_20%_80%	734	578	811	553	fixation_onset
1	3	pursuit	15	13	4266279	pursuit_80%_80%_20%_80%	831	553	811	553	fixation_onset
1	3	pursuit	15	14	4266319	pursuit_80%_80%_20%_80%	692	516	811	553	fixation_onset
1	3	pursuit	15	15	4266359	pursuit_80%_80%_20%_80%	747	527	811	553	fixation_onset
1	3	pursuit	15	16	4266399	pursuit_80%_80%_20%_80%	739	530	811	553	fixation_onset
1	3	pursuit	15	17	4266440	pursuit_80%_80%_20%_80%	680	544	811	553	fixation_onset
1	3	pursuit	15	18	4266481	pursuit_80%_80%_20%_80%	750	518	811	553	fixation_onset
1	3	pursuit	15	19	4266521	pursuit_80%_80%_20%_80%	665	505	811	553	fixation_onset
1	3	pursuit	15	20	4266563	pursuit_80%_80%_20%_80%	756	497	811	553	fixation_onset
1	3	pursuit	15	21	4266605	pursuit_80%_80%_20%_80%	683	521	811	553	fixation_onset
1	3	pursuit	15	22	4266645	pursuit_80%_80%_20%_80%	728	550	811	553	fixation_onset
1	3	pursuit	15	23	4266690	pursuit_80%_80%_20%_80%	744	569	811	553	fixation_onset
1	3	pursuit	15	24	4266736	pursuit_80%_80%_20%_80%	585	493	811	553	fixation_onset
1	3	pursuit	15	25	4266780	pursuit_80%_80%_20%_80%	691	542	811	553	fixation_onset
1	3	pursuit	15	26	4266823	pursuit_80%_80%_20%_80%	690	527	811	553	fixation_onset
1	3	pursuit	15	27	4266865	pursuit_80%_80%_20%_80%	767	585	811	553	fixation_onset
1	3	pursuit	15	28	4266906	pursuit_80%_80%_20%_80%	755	564	811	553	fixation_onset
1	3	pursuit	15	29	4266950	pursuit_80%_80%_20%_80%	739	526	811	553	fixation_onset
1	3	pursuit	15	30	4266991	pursuit_80%_80%_20%_80%	712	538	811	553	fixation_onset
1	3	pursuit	15	31	4267031	pursuit_80%_80%_20%_80%	753	469	811	553	fixation_onset
1	3	pursuit	15	32	4267072	pursuit_80%_80%_20%_80%	653	472	811	553	fixation_onset
1	3	pursuit	15	33	4267113	pursuit_80%_80%_20%_80%	748	501	811	553	fixation_onset
1	3	pursuit	15	34	4267154	pursuit_80%_80%_20%_80%	709	551	811	553	fixation_onset
1	3	pursuit	15	35	4267194	pursuit_80%_80%_20%_80%	690	553	811	553	fixation_onset
1	3	pursuit	15	36	4267235	pursuit_80%_80%_20%_80%	576	497	811	553	fixation_onset
1	3	pursuit	15	37	4267277	pursuit_80%_80%_20%_80%	634	526	811	553	fixation_onset
1	3	pursuit	15	38	4267318	pursuit_80%_80%_20%_80%	622	360	811	553	pursuit_start
1	3	pursuit	15	39	4267362	pursuit_80%_80%_20%_80%	674	481	811	553	pursuit_start
1	3	pursuit	15	40	4267404	pursuit_80%_80%_20%_80%	606	524	785	553	pursuit_start
1	3	pursuit	15	41	4267444	pursuit_80%_80%_20%_80%	880	530	785	553	pursuit_start
1	3	pursuit	15	42	4267486	pursuit_80%_80%_20%_80%	822	511	759	553	pursuit_start
1	3	pursuit	15	43	4267527	pursuit_80%_80%_20%_80%	785	546	759	553	pursuit_start
1	3	pursuit	15	44	4267569	pursuit_80%_80%_20%_80%	577	399	733	553	pursuit_start
1	3	pursuit	15	45	4267611	pursuit_80%_80%_20%_80%	691	475	733	553	pursuit_start
1	3	pursuit	15	46	4267655	pursuit_80%_80%_20%_80%	667	484	707	553	pursuit_start
1	3	pursuit	15	47	4267696	pursuit_80%_80%_20%_80%	601	609	707	553	pursuit_start
1	3	pursuit	15	48	4267738	pursuit_80%_80%_20%_80%	687	605	680	553	pursuit_start
1	3	pursuit	15	49	4267779	pursuit_80%_80%_20%_80%	640	496	680	553	pursuit_start
1	3	pursuit	15	50	4267821	pursuit_80%_80%_20%_80%	640	523	654	553	pursuit_start
1	3	pursuit	15	51	4267863	pursuit_80%_80%_20%_80%	691	594	654	553	pursuit_start
1	3	pursuit	15	52	4267904	pursuit_80%_80%_20%_80%	595	593	628	553	pursuit_start
1	3	pursuit	15	53	4267945	pursuit_80%_80%_20%_80%	667	476	628	553	pursuit_start
1	3	pursuit	15	54	4267988	pursuit_80%_80%_20%_80%	726	485	602	553	pursuit_start
1	3	pursuit	15	55	4268028	pursuit_80%_80%_20%_80%	622	477	602	553	pursuit_start
1	3	pursuit	15	56	4268069	pursuit_80%_80%_20%_80%	476	527	576	553	pursuit_start
1	3	pursuit	15	57	4268111	pursuit_80%_80%_20%_80%	525	576	576	553	pursuit_start
1	3	pursuit	15	58	4268152	pursuit_80%_80%_20%_80%	573	528	550	553	pursuit_start
1	3	pursuit	15	59	4268193	pursuit_80%_80%_20%_80%	477	464	550	553	pursuit_start
1	3	pursuit	15	60	4268235	pursuit_80%_80%_20%_80%	433	429	524	553	pursuit_start
1	3	pursuit	15	61	4268277	pursuit_80%_80%_20%_80%	370	549	524	553	pursuit_start
1	3	pursuit	15	62	4268318	pursuit_80%_80%_20%_80%	511	524	498	553	pursuit_start
1	3	pursuit	15	63	4268359	pursuit_80%_80%_20%_80%	443	514	498	553	pursuit_start
1	3	pursuit	15	64	4268401	pursuit_80%_80%_20%_80%	433	443	472	553	pursuit_start
1	3	pursuit	15	65	4268442	pursuit_80%_80%_20%_80%	454	475	472	553	pursuit_start
1	3	pursuit	15	66	4268485	pursuit_80%_80%_20%_80%	426	517	446	553	pursuit_start
1	3	pursuit	15	67	4268525	pursuit_80%_80%_20%_80%	496	442	446	553	pursuit_start
1	3	pursuit	15	68	4268567	pursuit_80%_80%_20%_80%	412	497	420	553	pursuit_start
1	3	pursuit	15	69	4268609	pursuit_80%_80%_20%_80%	495	450	420	553	pursuit_start
1	3	pursuit	15	70	4268651	pursuit_80%_80%_20%_80%	403	530	394	553	pursuit_start
1	3	pursuit	15	71	4268691	pursuit_80%_80%_20%_80%	357	578	394	553	pursuit_start
1	3	pursuit	15	72	4268734	pursuit_80%_80%_20%_80%	304	514	368	553	pursuit_start
1	3	pursuit	15	73	4268775	pursuit_80%_80%_20%_80%	234	668	368	553	pursuit_start
1	3	pursuit	15	74	4268817	pursuit_80%_80%_20%_80%	402	590	342	553	pursuit_start
1	3	pursuit	15	75	4268859	pursuit_80%_80%_20%_80%	337	575	342	553	pursuit_start
1	3	pursuit	15	76	4268899	pursuit_80%_80%_20%_80%	267	544	315	553	pursuit_start
1	3	pursuit	15	77	4268941	pursuit_80%_80%_20%_80%	228	544	315	553	pursuit_start
1	3	pursuit	15	78	4268982	pursuit_80%_80%_20%_80%	323	589	290	553	pursuit_start
1	3	pursuit	15	79	4269023	pursuit_80%_80%_20%_80%	322	673	290	553	pursuit_start
1	3	pursuit	15	80	4269064	pursuit_80%_80%_20%_80%	304	577	264	553	pursuit_start
1	3	pursuit	15	81	4269106	pursuit_80%_80%_20%_80%	302	605	264	553	pursuit_start
1	3	pursuit	15	82	4269148	pursuit_80%_80%_20%_80%	185	525	238	553	pursuit_start
1	3	pursuit	15	83	4269189	pursuit_80%_80%_20%_80%	292	567	238	553	pursuit_start
1	3	pursuit	15	84	4269230	pursuit_80%_80%_20%_80%	302	499	212	553	pursuit_start
1	3	pursuit	15	85	4269272	pursuit_80%_80%_20%_80%	350	511	199	553	pursuit_start
1	3	pursuit	15	86	4269313	pursuit_80%_80%_20%_80%	302	506	199	553	pursuit_start
1	3	pursuit	15	87	4269354	pursuit_80%_80%_20%_80%	255	517	184	553	pursuit_end
1	3	pursuit	15	88	4269397	pursuit_80%_80%_20%_80%	257	465	184	553	pursuit_end
1	3	pursuit	15	89	4269437	pursuit_80%_80%_20%_80%	270	635	184	553	pursuit_end
1	3	pursuit	15	90	4269479	pursuit_80%_80%_20%_80%	195	570	184	553	pursuit_end
1	3	pursuit	15	91	4269520	pursuit_80%_80%_20%_80%	214	595	184	553	pursuit_end
1	3	pursuit	15	92	4269561	pursuit_80%_80%_20%_80%	230	587	184	553	pursuit_end
1	3	pursuit	15	93	4269604	pursuit_80%_80%_20%_80%	214	604	184	553	pursuit_end
1	3	pursuit	15	94	4269645	pursuit_80%_80%_20%_80%	220	501	184	553	pursuit_end
1	3	pursuit	15	95	4269686	pursuit_80%_80%_20%_80%	230	532	184	553	pursuit_end
1	3	pursuit	15	96	4269728	pursuit_80%_80%_20%_80%	239	537	184	553	pursuit_end
1	3	pursuit	15	97	4269770	pursuit_80%_80%_20%_80%	221	526	184	553	pursuit_end
1	3	pursuit	15	98	4269810	pursuit_80%_80%_20%_80%	72	661	184	553	pursuit_end
1	3	pursuit	15	99	4269851	pursuit_80%_80%_20%_80%	114	574	184	553	pursuit_end
1	3	pursuit	15	100	4269894	pursuit_80%_80%_20%_80%	99	614	184	553	pursuit_end
