subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	5	pursuit	21	1	4861895	pursuit_80%_80%_20%_20%	355	413	811	553	fixation_onset
1	5	pursuit	21	2	4861943	pursuit_80%_80%_20%_20%	179	355	811	553	fixation_onset
1	5	pursuit	21	3	4861984	pursuit_80%_80%_20%_20%	320	378	811	553	fixation_onset
1	5	pursuit	21	4	4862025	pursuit_80%_80%_20%_20%	313	399	811	553	fixation_onset
1	5	pursuit	21	5	4862069	pursuit_80%_80%_20%_20%	303	262	811	553	fixation_onset
1	5	pursuit	21	6	4862109	pursuit_80%_80%_20%_20%	347	201	811	553	fixation_onset
1	5	pursuit	21	7	4862150	pursuit_80%_80%_20%_20%	360	161	811	553	fixation_onset
1	5	pursuit	21	8	4862191	pursuit_80%_80%_20%_20%	431	320	811	553	fixation_onset
1	5	pursuit	21	9	4862232	pursuit_80%_80%_20%_20%	667	510	811	553	fixation_onset
1	5	pursuit	21	10	4862273	pursuit_80%_80%_20%_20%	702	575	811	553	fixation_onset
1	5	pursuit	21	11	4862318	pursuit_80%_80%_20%_20%	734	501	811	553	fixation_onset
1	5	pursuit	21	12	4862358	pursuit_80%_80%_20%_20%	714	581	811	553	fixation_onset
1	5	pursuit	21	13	4862399	pursuit_80%_80%_20%_20%	789	530	811	553	fixation_onset
1	5	pursuit	21	14	4862440	pursuit_80%_80%_20%_20%	743	520	811	553	fixation_onset
1	5	pursuit	21	15	4862498	pursuit_80%_80%_20%_20%	683	563	811	553	fixation_onset
1	5	pursuit	21	16	4862541	pursuit_80%_80%_20%_20%	768	553	811	553	fixation_onset
1	5	pursuit	21	17	4862582	pursuit_80%_80%_20%_20%	772	519	811	553	fixation_onset
1	5	pursuit	21	18	4862623	pursuit_80%_80%_20%_20%	770	501	811	553	fixation_onset
1	5	pursuit	21	19	4862665	pursuit_80%_80%_20%_20%	861	580	811	553	fixation_onset
1	5	pursuit	21	20	4862707	pursuit_80%_80%_20%_20%	744	552	811	553	fixation_onset
1	5	pursuit	21	21	4862749	pursuit_80%_80%_20%_20%	719	487	811	553	fixation_onset
1	5	pursuit	21	22	4862789	pursuit_80%_80%_20%_20%	708	528	811	553	fixation_onset
1	5	pursuit	21	23	4862837	pursuit_80%_80%_20%_20%	797	469	811	553	fixation_onset
1	5	pursuit	21	24	4862882	pursuit_80%_80%_20%_20%	759	549	811	553	fixation_onset
1	5	pursuit	21	25	4862927	pursuit_80%_80%_20%_20%	719	543	811	553	fixation_onset
1	5	pursuit	21	26	4862972	pursuit_80%_80%_20%_20%	704	591	811	553	fixation_onset
1	5	pursuit	21	27	4863012	pursuit_80%_80%_20%_20%	696	593	811	553	fixation_onset
1	5	pursuit	21	28	4863053	pursuit_80%_80%_20%_20%	741	579	811	553	fixation_onset
1	5	pursuit	21	29	4863094	pursuit_80%_80%_20%_20%	647	569	811	553	fixation_onset
1	5	pursuit	21	30	4863134	pursuit_80%_80%_20%_20%	660	469	811	553	fixation_onset
1	5	pursuit	21	31	4863174	pursuit_80%_80%_20%_20%	643	589	811	553	fixation_onset
1	5	pursuit	21	32	4863215	pursuit_80%_80%_20%_20%	753	579	811	553	fixation_onset
1	5	pursuit	21	33	4863255	pursuit_80%_80%_20%_20%	783	511	811	553	fixation_onset
1	5	pursuit	21	34	4863295	pursuit_80%_80%_20%_20%	773	589	811	553	fixation_onset
1	5	pursuit	21	35	4863336	pursuit_80%_80%_20%_20%	649	496	811	553	fixation_onset
1	5	pursuit	21	36	4863378	pursuit_80%_80%_20%_20%	685	490	811	553	fixation_onset
1	5	pursuit	21	37	4863420	pursuit_80%_80%_20%_20%	670	549	811	553	fixation_onset
1	5	pursuit	21	38	4863464	pursuit_80%_80%_20%_20%	688	581	811	553	pursuit_start
1	5	pursuit	21	39	4863506	pursuit_80%_80%_20%_20%	618	607	811	553	pursuit_start
1	5	pursuit	21	40	4863547	pursuit_80%_80%_20%_20%	641	526	784	534	pursuit_start
1	5	pursuit	21	41	4863593	pursuit_80%_80%_20%_20%	672	543	784	534	pursuit_start
1	5	pursuit	21	42	4863638	pursuit_80%_80%_20%_20%	727	643	757	515	pursuit_start
1	5	pursuit	21	43	4863680	pursuit_80%_80%_20%_20%	719	516	757	515	pursuit_start
1	5	pursuit	21	44	4863722	pursuit_80%_80%_20%_20%	683	623	731	497	pursuit_start
1	5	pursuit	21	45	4863764	pursuit_80%_80%_20%_20%	682	527	731	497	pursuit_start
1	5	pursuit	21	46	4863804	pursuit_80%_80%_20%_20%	760	584	704	479	pursuit_start
1	5	pursuit	21	47	4863847	pursuit_80%_80%_20%_20%	760	584	704	479	pursuit_start
1	5	pursuit	21	48	4863887	pursuit_80%_80%_20%_20%	490	591	678	461	pursuit_start
1	5	pursuit	21	49	4863930	pursuit_80%_80%_20%_20%	529	556	678	461	pursuit_start
1	5	pursuit	21	50	4863977	pursuit_80%_80%_20%_20%	467	553	651	442	pursuit_start
1	5	pursuit	21	51	4864018	pursuit_80%_80%_20%_20%	593	435	651	442	pursuit_start
1	5	pursuit	21	52	4864059	pursuit_80%_80%_20%_20%	485	474	625	424	pursuit_start
1	5	pursuit	21	53	4864103	pursuit_80%_80%_20%_20%	583	516	625	424	pursuit_start
1	5	pursuit	21	54	4864146	pursuit_80%_80%_20%_20%	550	490	598	405	pursuit_start
1	5	pursuit	21	55	4864192	pursuit_80%_80%_20%_20%	276	577	598	405	pursuit_start
1	5	pursuit	21	56	4864235	pursuit_80%_80%_20%_20%	421	360	569	386	pursuit_start
1	5	pursuit	21	57	4864277	pursuit_80%_80%_20%_20%	399	308	569	386	pursuit_start
1	5	pursuit	21	58	4864319	pursuit_80%_80%_20%_20%	406	387	543	367	pursuit_start
1	5	pursuit	21	59	4864363	pursuit_80%_80%_20%_20%	338	395	543	367	pursuit_start
1	5	pursuit	21	60	4864405	pursuit_80%_80%_20%_20%	252	277	516	349	pursuit_start
1	5	pursuit	21	61	4864446	pursuit_80%_80%_20%_20%	238	346	516	349	pursuit_start
1	5	pursuit	21	62	4864488	pursuit_80%_80%_20%_20%	301	293	490	331	pursuit_start
1	5	pursuit	21	63	4864529	pursuit_80%_80%_20%_20%	209	298	490	331	pursuit_start
1	5	pursuit	21	64	4864572	pursuit_80%_80%_20%_20%	335	327	464	313	pursuit_start
1	5	pursuit	21	65	4864614	pursuit_80%_80%_20%_20%	309	276	464	313	pursuit_start
1	5	pursuit	21	66	4864656	pursuit_80%_80%_20%_20%	295	340	437	294	pursuit_start
1	5	pursuit	21	67	4864698	pursuit_80%_80%_20%_20%	262	293	437	294	pursuit_start
1	5	pursuit	21	68	4864741	pursuit_80%_80%_20%_20%	320	270	411	276	pursuit_start
