subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	6	14	1	5214930	203	333	497	335	294	20
1	6	14	2	5214978	327	371	497	335	173	20
1	6	14	3	5215022	320	364	497	335	179	20
1	6	14	4	5215062	307	273	497	335	199	20
1	6	14	5	5215103	316	405	497	335	194	20
1	6	14	6	5215145	353	446	497	335	181	20
1	6	14	7	5215186	444	363	497	335	59	20
1	6	14	8	5215228	617	259	497	335	142	20
1	6	14	9	5215270	587	317	497	335	91	20
1	6	14	10	5215313	596	311	497	335	101	20
1	6	14	11	5215354	501	416	497	335	81	20
1	6	14	12	5215397	535	402	497	335	77	20
1	6	14	13	5215437	500	368	497	335	33	20
1	6	14	14	5215477	479	362	497	335	32	20
1	6	14	15	5215524	442	448	497	335	125	20
1	6	14	16	5215567	548	308	497	335	57	20
1	6	14	17	5215607	322	343	497	335	175	20
1	6	14	18	5215651	529	334	497	335	32	20
1	6	14	19	5215692	493	231	497	335	104	20
1	6	14	20	5215750	449	318	497	335	50	19
1	6	14	21	5215791	548	358	497	335	55	19
1	6	14	22	5215833	591	239	497	335	134	19
1	6	14	23	5215876	543	296	497	335	60	19
1	6	14	24	5215932	495	291	497	335	44	18
1	6	14	25	5215975	505	343	497	335	11	18
1	6	14	26	5216018	471	351	497	335	30	18
1	6	14	27	5216062	537	303	497	335	51	18
1	6	14	28	5216117	571	375	497	335	84	17
1	6	14	29	5216158	544	292	497	335	63	17
1	6	14	30	5216200	542	280	497	335	71	17
1	6	14	31	5216240	534	289	497	335	59	17
1	6	14	32	5216293	512	319	497	335	21	16
1	6	14	33	5216334	526	324	497	335	31	16
1	6	14	34	5216375	499	411	497	335	76	16
1	6	14	35	5216429	484	344	497	335	15	16
1	6	14	36	5216492	496	368	497	335	33	15
1	6	14	37	5216539	488	295	497	335	41	15
1	6	14	38	5216580	597	435	497	335	141	15
1	6	14	39	5216620	547	330	497	335	50	15
1	6	14	40	5216676	486	329	497	335	12	14
1	6	14	41	5216717	498	342	497	335	7	14
1	6	14	42	5216759	474	318	497	335	28	14
1	6	14	43	5216801	466	501	497	335	168	14
1	6	14	44	5216854	539	300	497	335	54	13
1	6	14	45	5216896	541	202	497	335	140	13
1	6	14	46	5216939	649	20	497	335	349	13
1	6	14	47	5216981	566	216	497	335	137	13
1	6	14	48	5217033	568	282	497	335	88	12
1	6	14	49	5217076	589	280	497	335	107	12
1	6	14	50	5217117	614	206	497	335	174	12
1	6	14	51	5217161	653	282	497	335	164	12
1	6	14	52	5217214	640	304	497	335	146	11
1	6	14	53	5217255	640	304	497	335	146	11
1	6	14	54	5217297	704	302	497	335	209	11
1	6	14	55	5217338	617	363	497	335	123	11
1	6	14	56	5217392	451	403	497	335	82	10
1	6	14	57	5217434	506	408	497	335	73	10
1	6	14	58	5217475	624	370	497	335	131	10
1	6	14	59	5217517	597	142	497	335	217	10
1	6	14	60	5217572	621	295	497	335	130	9
1	6	14	61	5217614	573	266	497	335	102	9
1	6	14	62	5217656	656	184	497	335	219	9
1	6	14	63	5217697	425	289	497	335	85	9
1	6	14	64	5217750	477	318	497	335	26	8
1	6	14	65	5217792	757	301	497	335	262	8
1	6	14	66	5217836	620	247	497	335	151	8
1	6	14	67	5217882	485	303	497	335	34	8
1	6	14	68	5217937	578	361	497	335	85	7
1	6	14	69	5217979	602	410	497	335	129	7
1	6	14	70	5218020	678	335	497	335	181	7
1	6	14	71	5218061	495	361	497	335	26	7
1	6	14	72	5218113	477	291	497	335	48	6
1	6	14	73	5218155	505	354	497	335	20	6
1	6	14	74	5218198	449	351	497	335	50	6
1	6	14	75	5218242	499	317	497	335	18	6
1	6	14	76	5218297	528	336	497	335	31	5
1	6	14	77	5218339	481	333	497	335	16	5
1	6	14	78	5218382	499	281	497	335	54	5
1	6	14	79	5218422	485	303	497	335	34	5
1	6	14	80	5218476	472	293	497	335	48	4
1	6	14	81	5218518	459	354	497	335	42	4
1	6	14	82	5218561	457	430	497	335	103	4
1	6	14	83	5218603	515	342	497	335	19	4
1	6	14	84	5218657	509	315	497	335	23	3
1	6	14	85	5218700	535	279	497	335	67	3
1	6	14	86	5218742	400	402	497	335	117	3
1	6	14	87	5218783	491	227	497	335	108	3
1	6	14	88	5218836	551	446	497	335	123	2
1	6	14	89	5218877	483	370	497	335	37	2
1	6	14	90	5218921	489	396	497	335	61	2
1	6	14	91	5218964	582	370	497	335	91	2
1	6	14	92	5219019	516	333	497	335	19	1
1	6	14	93	5219060	494	329	497	335	6	1
1	6	14	94	5219101	461	325	497	335	37	1
1	6	14	95	5219142	506	298	497	335	38	1
