subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	5	21	1	4723040	561	435	340	444	221	20
1	5	21	2	4723086	623	393	340	444	287	20
1	5	21	3	4723135	714	394	340	444	377	20
1	5	21	4	4723176	682	390	340	444	346	20
1	5	21	5	4723216	788	437	340	444	448	20
1	5	21	6	4723259	612	435	340	444	272	20
1	5	21	7	4723300	536	467	340	444	197	20
1	5	21	8	4723356	345	397	340	444	47	20
1	5	21	9	4723400	280	478	340	444	68	20
1	5	21	10	4723440	301	425	340	444	43	20
1	5	21	11	4723481	377	443	340	444	37	20
1	5	21	12	4723523	330	376	340	444	68	20
1	5	21	13	4723598	268	438	340	444	72	20
1	5	21	14	4723645	356	413	340	444	34	20
1	5	21	15	4723687	389	400	340	444	65	20
1	5	21	16	4723729	313	439	340	444	27	20
1	5	21	17	4723769	214	413	340	444	129	20
1	5	21	18	4723813	404	410	340	444	72	20
1	5	21	19	4723865	274	420	340	444	70	19
1	5	21	20	4723908	395	417	340	444	61	19
1	5	21	21	4723950	350	410	340	444	35	19
1	5	21	22	4723991	284	452	340	444	56	19
1	5	21	23	4724046	356	406	340	444	41	18
1	5	21	24	4724086	305	431	340	444	37	18
1	5	21	25	4724130	433	397	340	444	104	18
1	5	21	26	4724170	313	394	340	444	56	18
1	5	21	27	4724224	316	446	340	444	24	17
1	5	21	28	4724265	345	363	340	444	81	17
1	5	21	29	4724305	238	449	340	444	102	17
1	5	21	30	4724348	308	421	340	444	39	17
1	5	21	31	4724399	317	373	340	444	74	16
1	5	21	32	4724442	396	349	340	444	110	16
1	5	21	33	4724484	420	408	340	444	87	16
1	5	21	34	4724528	340	361	340	444	83	16
1	5	21	35	4724588	455	388	340	444	127	15
1	5	21	36	4724634	345	434	340	444	11	15
1	5	21	37	4724677	337	329	340	444	115	15
1	5	21	38	4724718	376	404	340	444	53	15
1	5	21	39	4724771	387	386	340	444	74	14
1	5	21	40	4724812	367	416	340	444	38	14
1	5	21	41	4724852	288	406	340	444	64	14
1	5	21	42	4724893	238	479	340	444	107	14
1	5	21	43	4724948	317	492	340	444	53	13
1	5	21	44	4724990	285	386	340	444	79	13
1	5	21	45	4725031	369	450	340	444	29	13
1	5	21	46	4725071	483	449	340	444	143	13
1	5	21	47	4725124	364	493	340	444	54	12
1	5	21	48	4725167	479	455	340	444	139	12
1	5	21	49	4725210	396	491	340	444	73	12
1	5	21	50	4725251	341	519	340	444	75	12
1	5	21	51	4725304	391	530	340	444	99	11
1	5	21	52	4725345	460	435	340	444	120	11
1	5	21	53	4725386	529	375	340	444	201	11
1	5	21	54	4725427	421	423	340	444	83	11
1	5	21	55	4725483	413	434	340	444	73	10
1	5	21	56	4725526	375	396	340	444	59	10
1	5	21	57	4725567	398	540	340	444	112	10
1	5	21	58	4725609	428	375	340	444	111	10
1	5	21	59	4725663	621	402	340	444	284	9
1	5	21	60	4725704	597	245	340	444	325	9
1	5	21	61	4725745	479	298	340	444	201	9
1	5	21	62	4725786	236	473	340	444	107	9
1	5	21	63	4725842	352	495	340	444	52	8
1	5	21	64	4725883	347	400	340	444	44	8
1	5	21	65	4725926	337	478	340	444	34	8
1	5	21	66	4725970	326	516	340	444	73	8
1	5	21	67	4726023	403	507	340	444	89	7
1	5	21	68	4726065	319	485	340	444	46	7
1	5	21	69	4726107	392	551	340	444	118	7
1	5	21	70	4726149	299	477	340	444	52	7
1	5	21	71	4726202	297	490	340	444	62	6
1	5	21	72	4726244	272	523	340	444	104	6
1	5	21	73	4726285	337	533	340	444	89	6
1	5	21	74	4726325	358	520	340	444	78	6
1	5	21	75	4726381	304	525	340	444	88	5
1	5	21	76	4726422	380	364	340	444	89	5
1	5	21	77	4726463	258	498	340	444	98	5
1	5	21	78	4726505	321	481	340	444	41	5
1	5	21	79	4726561	381	417	340	444	49	4
1	5	21	80	4726604	306	443	340	444	34	4
1	5	21	81	4726646	386	426	340	444	49	4
1	5	21	82	4726686	347	427	340	444	18	4
1	5	21	83	4726740	346	416	340	444	28	3
1	5	21	84	4726782	358	457	340	444	22	3
1	5	21	85	4726823	348	411	340	444	33	3
1	5	21	86	4726863	358	416	340	444	33	3
1	5	21	87	4726917	360	472	340	444	34	2
1	5	21	88	4726961	230	482	340	444	116	2
1	5	21	89	4727001	285	470	340	444	60	2
1	5	21	90	4727043	314	440	340	444	26	2
1	5	21	91	4727094	261	475	340	444	84	1
1	5	21	92	4727162	285	584	340	444	150	1
1	5	21	93	4727206	307	514	340	444	77	1
