subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	6	simple	11	1	5335397	dot_50%_20%	419	216	0	0	fixation_onset
1	6	simple	11	2	5335442	dot_50%_20%	315	331	0	0	fixation_onset
1	6	simple	11	3	5335482	dot_50%_20%	473	239	0	0	fixation_onset
1	6	simple	11	4	5335528	dot_50%_20%	419	333	0	0	fixation_onset
1	6	simple	11	5	5335570	dot_50%_20%	426	335	0	0	fixation_onset
1	6	simple	11	6	5335609	dot_50%_20%	426	368	0	0	fixation_onset
1	6	simple	11	7	5335654	dot_50%_20%	511	282	0	0	fixation_onset
1	6	simple	11	8	5335693	dot_50%_20%	422	267	0	0	fixation_onset
1	6	simple	11	9	5335734	dot_50%_20%	416	336	0	0	fixation_onset
1	6	simple	11	10	5335775	dot_50%_20%	527	279	0	0	fixation_onset
1	6	simple	11	11	5335817	dot_50%_20%	424	335	0	0	fixation_onset
1	6	simple	11	12	5335857	dot_50%_20%	419	319	0	0	fixation_onset
1	6	simple	11	13	5335898	dot_50%_20%	377	289	0	0	fixation_onset
1	6	simple	11	14	5335938	dot_50%_20%	390	335	0	0	fixation_onset
1	6	simple	11	15	5335980	dot_50%_20%	392	419	0	0	fixation_onset
1	6	simple	11	16	5336022	dot_50%_20%	322	345	0	0	fixation_onset
1	6	simple	11	17	5336062	dot_50%_20%	304	313	0	0	fixation_onset
1	6	simple	11	18	5336102	dot_50%_20%	133	189	0	0	fixation_onset
1	6	simple	11	19	5336145	dot_50%_20%	-84	-160	0	0	fixation_onset
1	6	simple	11	20	5336185	dot_50%_20%	-308	-304	0	0	fixation_onset
1	6	simple	11	21	5336225	dot_50%_20%	209	207	0	0	fixation_onset
1	6	simple	11	22	5336266	dot_50%_20%	302	191	0	0	fixation_onset
1	6	simple	11	23	5336308	dot_50%_20%	412	363	0	0	fixation_onset
1	6	simple	11	24	5336353	dot_50%_20%	451	393	0	0	fixation_onset
1	6	simple	11	25	5336400	dot_50%_20%	125	24	0	0	fixation_onset
1	6	simple	11	26	5336442	dot_50%_20%	330	126	0	0	fixation_onset
1	6	simple	11	27	5336482	dot_50%_20%	478	305	0	0	fixation_onset
1	6	simple	11	28	5336529	dot_50%_20%	432	389	0	0	fixation_onset
1	6	simple	11	29	5336569	dot_50%_20%	439	378	0	0	fixation_onset
1	6	simple	11	30	5336609	dot_50%_20%	389	371	0	0	fixation_onset
1	6	simple	11	31	5336654	dot_50%_20%	508	341	0	0	fixation_onset
1	6	simple	11	32	5336694	dot_50%_20%	438	297	0	0	fixation_onset
1	6	simple	11	33	5336735	dot_50%_20%	428	463	0	0	fixation_onset
1	6	simple	11	34	5336776	dot_50%_20%	399	345	0	0	fixation_onset
