subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	4	freeviewing	8	1	4498706	view_stimuli/tolcam_face_30.png_left	854	396	-1	-1	fixation_onset
1	4	freeviewing	8	2	4498751	view_stimuli/tolcam_face_30.png_left	535	420	-1	-1	fixation_onset
1	4	freeviewing	8	3	4498791	view_stimuli/tolcam_face_30.png_left	511	350	-1	-1	fixation_onset
1	4	freeviewing	8	4	4498834	view_stimuli/tolcam_face_30.png_left	495	288	-1	-1	fixation_onset
1	4	freeviewing	8	5	4498875	view_stimuli/tolcam_face_30.png_left	630	351	-1	-1	fixation_onset
1	4	freeviewing	8	6	4498917	view_stimuli/tolcam_face_30.png_left	625	352	-1	-1	fixation_onset
1	4	freeviewing	8	7	4498959	view_stimuli/tolcam_face_30.png_left	685	373	-1	-1	fixation_onset
1	4	freeviewing	8	8	4499000	view_stimuli/tolcam_face_30.png_left	627	356	-1	-1	fixation_onset
1	4	freeviewing	8	9	4499040	view_stimuli/tolcam_face_30.png_left	572	393	-1	-1	fixation_onset
1	4	freeviewing	8	10	4499081	view_stimuli/tolcam_face_30.png_left	473	398	-1	-1	fixation_onset
1	4	freeviewing	8	11	4499121	view_stimuli/tolcam_face_30.png_left	440	437	-1	-1	fixation_onset
1	4	freeviewing	8	12	4499163	view_stimuli/tolcam_face_30.png_left	479	427	-1	-1	fixation_onset
1	4	freeviewing	8	13	4499205	view_stimuli/tolcam_face_30.png_left	539	423	-1	-1	fixation_onset
1	4	freeviewing	8	14	4499246	view_stimuli/tolcam_face_30.png_left	507	421	-1	-1	fixation_onset
1	4	freeviewing	8	15	4499287	view_stimuli/tolcam_face_30.png_left	480	356	-1	-1	fixation_onset
1	4	freeviewing	8	16	4499329	view_stimuli/tolcam_face_30.png_left	508	471	-1	-1	fixation_onset
1	4	freeviewing	8	17	4499376	view_stimuli/tolcam_face_30.png_left	491	468	-1	-1	fixation_onset
1	4	freeviewing	8	18	4499417	view_stimuli/tolcam_face_30.png_left	520	366	-1	-1	fixation_onset
