subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	3	pursuit	19	1	4284756	pursuit_80%_80%_20%_20%	495	326	811	553	fixation_onset
1	3	pursuit	19	2	4284821	pursuit_80%_80%_20%_20%	593	283	811	553	fixation_onset
1	3	pursuit	19	3	4284865	pursuit_80%_80%_20%_20%	616	255	811	553	fixation_onset
1	3	pursuit	19	4	4284908	pursuit_80%_80%_20%_20%	712	315	811	553	fixation_onset
1	3	pursuit	19	5	4284951	pursuit_80%_80%_20%_20%	642	268	811	553	fixation_onset
1	3	pursuit	19	6	4284990	pursuit_80%_80%_20%_20%	641	278	811	553	fixation_onset
1	3	pursuit	19	7	4285033	pursuit_80%_80%_20%_20%	685	392	811	553	fixation_onset
1	3	pursuit	19	8	4285075	pursuit_80%_80%_20%_20%	682	478	811	553	fixation_onset
1	3	pursuit	19	9	4285116	pursuit_80%_80%_20%_20%	678	359	811	553	fixation_onset
1	3	pursuit	19	10	4285158	pursuit_80%_80%_20%_20%	693	373	811	553	fixation_onset
1	3	pursuit	19	11	4285199	pursuit_80%_80%_20%_20%	703	485	811	553	fixation_onset
1	3	pursuit	19	12	4285240	pursuit_80%_80%_20%_20%	711	424	811	553	fixation_onset
1	3	pursuit	19	13	4285282	pursuit_80%_80%_20%_20%	726	498	811	553	fixation_onset
1	3	pursuit	19	14	4285322	pursuit_80%_80%_20%_20%	719	474	811	553	fixation_onset
1	3	pursuit	19	15	4285362	pursuit_80%_80%_20%_20%	686	455	811	553	fixation_onset
1	3	pursuit	19	16	4285404	pursuit_80%_80%_20%_20%	673	413	811	553	fixation_onset
1	3	pursuit	19	17	4285445	pursuit_80%_80%_20%_20%	691	368	811	553	fixation_onset
1	3	pursuit	19	18	4285486	pursuit_80%_80%_20%_20%	622	482	811	553	fixation_onset
1	3	pursuit	19	19	4285527	pursuit_80%_80%_20%_20%	682	415	811	553	fixation_onset
1	3	pursuit	19	20	4285567	pursuit_80%_80%_20%_20%	675	459	811	553	fixation_onset
1	3	pursuit	19	21	4285608	pursuit_80%_80%_20%_20%	682	426	811	553	fixation_onset
1	3	pursuit	19	22	4285650	pursuit_80%_80%_20%_20%	708	478	811	553	fixation_onset
1	3	pursuit	19	23	4285691	pursuit_80%_80%_20%_20%	654	517	811	553	fixation_onset
1	3	pursuit	19	24	4285738	pursuit_80%_80%_20%_20%	690	429	811	553	fixation_onset
1	3	pursuit	19	25	4285784	pursuit_80%_80%_20%_20%	686	532	811	553	fixation_onset
