subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	5	7	1	4663288	540	320	497	552	235	20
1	5	7	2	4663334	565	317	497	552	244	20
1	5	7	3	4663380	568	266	497	552	294	20
1	5	7	4	4663421	542	312	497	552	244	20
1	5	7	5	4663462	478	340	497	552	212	20
1	5	7	6	4663504	453	329	497	552	227	20
1	5	7	7	4663545	491	301	497	552	251	20
1	5	7	8	4663587	495	377	497	552	175	20
1	5	7	9	4663628	450	416	497	552	143	20
1	5	7	10	4663670	348	451	497	552	180	20
1	5	7	11	4663714	472	516	497	552	43	20
1	5	7	12	4663756	445	492	497	552	79	20
1	5	7	13	4663797	363	437	497	552	176	20
1	5	7	14	4663837	449	412	497	552	148	20
1	5	7	15	4663879	447	499	497	552	72	20
1	5	7	16	4663921	454	422	497	552	136	20
1	5	7	17	4663961	457	534	497	552	43	20
1	5	7	18	4664003	466	461	497	552	96	20
1	5	7	19	4664044	451	480	497	552	85	20
1	5	7	20	4664097	428	511	497	552	80	19
1	5	7	21	4664144	437	506	497	552	75	19
1	5	7	22	4664184	402	524	497	552	99	19
1	5	7	23	4664226	428	552	497	552	69	19
1	5	7	24	4664281	404	466	497	552	126	18
1	5	7	25	4664323	486	575	497	552	25	18
1	5	7	26	4664367	434	520	497	552	70	18
1	5	7	27	4664409	434	520	497	552	70	18
1	5	7	28	4664462	448	564	497	552	50	17
1	5	7	29	4664506	524	484	497	552	73	17
1	5	7	30	4664547	519	529	497	552	31	17
1	5	7	31	4664589	532	532	497	552	40	17
1	5	7	32	4664644	501	529	497	552	23	16
1	5	7	33	4664685	545	517	497	552	59	16
1	5	7	34	4664726	497	508	497	552	44	16
1	5	7	35	4664770	414	611	497	552	101	16
1	5	7	36	4664828	593	506	497	552	106	15
1	5	7	37	4664875	464	576	497	552	40	15
1	5	7	38	4664919	495	604	497	552	52	15
1	5	7	39	4664959	455	516	497	552	55	15
1	5	7	40	4665012	448	633	497	552	94	14
1	5	7	41	4665054	450	515	497	552	59	14
1	5	7	42	4665096	427	616	497	552	94	14
1	5	7	43	4665137	357	612	497	552	152	14
1	5	7	44	4665191	352	560	497	552	145	13
1	5	7	45	4665232	593	502	497	552	108	13
1	5	7	46	4665273	499	511	497	552	41	13
1	5	7	47	4665317	463	466	497	552	92	13
1	5	7	48	4665374	429	551	497	552	68	12
1	5	7	49	4665417	416	505	497	552	93	12
1	5	7	50	4665458	439	531	497	552	61	12
1	5	7	51	4665499	420	510	497	552	87	12
1	5	7	52	4665553	413	528	497	552	87	11
1	5	7	53	4665595	519	549	497	552	22	11
1	5	7	54	4665637	494	478	497	552	74	11
1	5	7	55	4665677	425	548	497	552	72	11
1	5	7	56	4665737	485	494	497	552	59	10
1	5	7	57	4665779	482	510	497	552	44	10
1	5	7	58	4665824	423	582	497	552	79	10
1	5	7	59	4665865	487	505	497	552	48	10
1	5	7	60	4665919	507	587	497	552	36	9
1	5	7	61	4665961	486	589	497	552	38	9
1	5	7	62	4666001	538	544	497	552	41	9
1	5	7	63	4666043	463	544	497	552	34	9
1	5	7	64	4666100	431	521	497	552	72	8
1	5	7	65	4666142	496	516	497	552	36	8
1	5	7	66	4666184	547	573	497	552	54	8
1	5	7	67	4666224	501	598	497	552	46	8
1	5	7	68	4666279	459	549	497	552	38	7
1	5	7	69	4666323	565	517	497	552	76	7
1	5	7	70	4666369	574	589	497	552	85	7
1	5	7	71	4666411	592	509	497	552	104	7
1	5	7	72	4666462	448	521	497	552	57	6
1	5	7	73	4666507	421	517	497	552	83	6
1	5	7	74	4666547	606	504	497	552	119	6
1	5	7	75	4666589	473	565	497	552	27	6
1	5	7	76	4666643	526	480	497	552	77	5
1	5	7	77	4666686	472	515	497	552	44	5
1	5	7	78	4666728	598	467	497	552	132	5
1	5	7	79	4666768	515	533	497	552	26	5
1	5	7	80	4666822	532	511	497	552	53	4
1	5	7	81	4666863	492	492	497	552	60	4
1	5	7	82	4666905	577	467	497	552	116	4
1	5	7	83	4666948	509	501	497	552	52	4
1	5	7	84	4667000	538	583	497	552	51	3
1	5	7	85	4667042	667	577	497	552	171	3
1	5	7	86	4667104	535	503	497	552	62	3
1	5	7	87	4667148	570	475	497	552	106	3
1	5	7	88	4667202	526	480	497	552	77	2
1	5	7	89	4667243	472	537	497	552	29	2
1	5	7	90	4667285	488	543	497	552	12	2
1	5	7	91	4667327	393	484	497	552	124	2
1	5	7	92	4667382	519	497	497	552	59	1
1	5	7	93	4667426	569	488	497	552	96	1
1	5	7	94	4667467	452	520	497	552	55	1
1	5	7	95	4667509	548	509	497	552	66	1
