subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	4	4	1	4344116	728	183	810	552	378	20
1	4	4	2	4344159	736	242	810	552	318	20
1	4	4	3	4344203	702	97	810	552	467	20
1	4	4	4	4344244	730	138	810	552	421	20
1	4	4	5	4344285	770	229	810	552	325	20
1	4	4	6	4344326	723	94	810	552	466	20
1	4	4	7	4344366	724	152	810	552	409	20
1	4	4	8	4344407	596	323	810	552	313	20
1	4	4	9	4344451	720	476	810	552	117	20
1	4	4	10	4344493	727	532	810	552	85	20
1	4	4	11	4344533	807	580	810	552	28	20
1	4	4	12	4344574	806	511	810	552	41	20
1	4	4	13	4344615	854	526	810	552	51	20
1	4	4	14	4344656	753	533	810	552	60	20
1	4	4	15	4344695	784	580	810	552	38	20
1	4	4	16	4344738	790	605	810	552	56	20
1	4	4	17	4344780	816	498	810	552	54	20
1	4	4	18	4344838	787	541	810	552	25	20
1	4	4	19	4344882	826	533	810	552	24	20
1	4	4	20	4344938	843	549	810	552	33	19
1	4	4	21	4344982	777	555	810	552	33	19
1	4	4	22	4345022	730	478	810	552	108	19
1	4	4	23	4345062	842	634	810	552	88	19
1	4	4	24	4345119	858	603	810	552	70	18
1	4	4	25	4345163	872	581	810	552	68	18
1	4	4	26	4345206	812	454	810	552	98	18
1	4	4	27	4345246	797	600	810	552	49	18
1	4	4	28	4345299	892	590	810	552	90	17
1	4	4	29	4345341	878	526	810	552	72	17
1	4	4	30	4345381	755	529	810	552	59	17
1	4	4	31	4345423	811	577	810	552	25	17
1	4	4	32	4345474	842	485	810	552	74	16
1	4	4	33	4345516	856	610	810	552	74	16
1	4	4	34	4345558	894	554	810	552	84	16
1	4	4	35	4345601	766	442	810	552	118	16
1	4	4	36	4345663	840	586	810	552	45	15
1	4	4	37	4345708	848	529	810	552	44	15
1	4	4	38	4345749	663	166	810	552	413	15
1	4	4	39	4345789	525	543	810	552	285	15
1	4	4	40	4345842	699	255	810	552	317	14
1	4	4	41	4345884	706	222	810	552	346	14
1	4	4	42	4345924	745	208	810	552	350	14
1	4	4	43	4345966	612	390	810	552	255	14
1	4	4	44	4346023	663	331	810	552	265	13
1	4	4	45	4346068	750	299	810	552	260	13
1	4	4	46	4346109	712	419	810	552	165	13
1	4	4	47	4346150	739	375	810	552	190	13
1	4	4	48	4346204	701	408	810	552	180	12
1	4	4	49	4346245	631	474	810	552	195	12
1	4	4	50	4346287	679	449	810	552	166	12
1	4	4	51	4346327	642	347	810	552	265	12
1	4	4	52	4346381	692	429	810	552	170	11
1	4	4	53	4346423	650	443	810	552	193	11
1	4	4	54	4346463	688	373	810	552	216	11
1	4	4	55	4346504	623	381	810	552	253	11
1	4	4	56	4346558	837	483	810	552	74	10
1	4	4	57	4346601	753	491	810	552	83	10
1	4	4	58	4346644	755	504	810	552	73	10
1	4	4	59	4346685	742	491	810	552	91	10
1	4	4	60	4346739	723	482	810	552	111	9
1	4	4	61	4346780	764	509	810	552	62	9
1	4	4	62	4346821	640	515	810	552	173	9
1	4	4	63	4346862	745	531	810	552	68	9
1	4	4	64	4346941	745	501	810	552	82	8
1	4	4	65	4346985	686	503	810	552	133	8
1	4	4	66	4347026	751	535	810	552	61	8
1	4	4	67	4347078	722	496	810	552	104	7
1	4	4	68	4347120	712	568	810	552	99	7
1	4	4	69	4347162	739	549	810	552	71	7
1	4	4	70	4347201	709	454	810	552	140	7
1	4	4	71	4347255	689	561	810	552	121	6
1	4	4	72	4347296	754	523	810	552	63	6
1	4	4	73	4347336	659	525	810	552	153	6
1	4	4	74	4347379	748	585	810	552	70	6
1	4	4	75	4347431	755	525	810	552	61	5
1	4	4	76	4347474	770	510	810	552	58	5
1	4	4	77	4347514	723	446	810	552	137	5
1	4	4	78	4347554	744	460	810	552	113	5
1	4	4	79	4347608	719	470	810	552	122	4
1	4	4	80	4347651	671	556	810	552	139	4
1	4	4	81	4347693	761	518	810	552	59	4
1	4	4	82	4347739	726	549	810	552	84	4
1	4	4	83	4347792	698	503	810	552	122	3
1	4	4	84	4347834	777	564	810	552	35	3
1	4	4	85	4347874	814	528	810	552	24	3
1	4	4	86	4347918	774	537	810	552	39	3
1	4	4	87	4347970	750	533	810	552	62	2
1	4	4	88	4348013	798	516	810	552	37	2
1	4	4	89	4348054	704	500	810	552	118	2
1	4	4	90	4348094	801	602	810	552	50	2
1	4	4	91	4348148	746	492	810	552	87	1
1	4	4	92	4348207	865	506	810	552	71	1
1	4	4	93	4348252	681	548	810	552	129	1
