subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	2	20	1	403423	744	202	340	444	470	20
1	2	20	2	403472	757	239	340	444	464	20
1	2	20	3	403514	731	306	340	444	414	20
1	2	20	4	403555	784	263	340	444	479	20
1	2	20	5	403597	841	241	340	444	540	20
1	2	20	6	403639	816	254	340	444	512	20
1	2	20	7	403680	827	184	340	444	552	20
1	2	20	8	403725	630	321	340	444	315	20
1	2	20	9	403765	418	402	340	444	88	20
1	2	20	10	403804	437	341	340	444	141	20
1	2	20	11	403847	332	373	340	444	71	20
1	2	20	12	403889	373	405	340	444	51	20
1	2	20	13	403929	543	460	340	444	203	20
1	2	20	14	403971	485	493	340	444	153	20
1	2	20	15	404011	464	451	340	444	124	20
1	2	20	16	404051	469	518	340	444	148	20
1	2	20	17	404105	409	385	340	444	90	19
1	2	20	18	404151	348	347	340	444	97	19
1	2	20	19	404194	418	420	340	444	81	19
1	2	20	20	404235	421	417	340	444	85	19
1	2	20	21	404288	374	427	340	444	38	18
1	2	20	22	404330	365	400	340	444	50	18
1	2	20	23	404370	373	336	340	444	112	18
1	2	20	24	404412	484	402	340	444	150	18
1	2	20	25	404465	368	380	340	444	69	17
1	2	20	26	404509	344	426	340	444	18	17
1	2	20	27	404549	285	328	340	444	128	17
1	2	20	28	404590	321	373	340	444	73	17
1	2	20	29	404644	374	374	340	444	77	16
1	2	20	30	404688	338	356	340	444	88	16
1	2	20	31	404732	372	425	340	444	37	16
1	2	20	32	404772	352	444	340	444	12	16
1	2	20	33	404825	314	295	340	444	151	15
1	2	20	34	404868	455	435	340	444	115	15
1	2	20	35	404909	445	412	340	444	109	15
1	2	20	36	404950	379	412	340	444	50	15
1	2	20	37	405004	351	359	340	444	85	14
1	2	20	38	405048	473	461	340	444	134	14
1	2	20	39	405088	462	460	340	444	123	14
1	2	20	40	405129	464	453	340	444	124	14
1	2	20	41	405183	435	385	340	444	111	13
1	2	20	42	405228	337	437	340	444	7	13
1	2	20	43	405270	429	469	340	444	92	13
1	2	20	44	405454	361	516	340	444	75	12
1	2	20	45	405497	394	400	340	444	69	12
1	2	20	46	405537	415	409	340	444	82	12
1	2	20	47	405579	410	440	340	444	70	12
1	2	20	48	405632	329	390	340	444	55	11
1	2	20	49	405675	443	578	340	444	169	11
1	2	20	50	405717	346	382	340	444	62	11
1	2	20	51	405758	475	479	340	444	139	11
1	2	20	52	405810	399	510	340	444	88	10
1	2	20	53	405852	417	413	340	444	83	10
1	2	20	54	405894	472	483	340	444	137	10
1	2	20	55	405936	376	382	340	444	71	10
1	2	20	56	405993	400	423	340	444	63	9
1	2	20	57	406034	423	389	340	444	99	9
1	2	20	58	406074	439	303	340	444	172	9
1	2	20	59	406115	364	416	340	444	36	9
1	2	20	60	406167	357	470	340	444	31	8
1	2	20	61	406210	382	422	340	444	47	8
1	2	20	62	406250	306	382	340	444	70	8
1	2	20	63	406290	329	500	340	444	57	8
1	2	20	64	406343	418	551	340	444	132	7
1	2	20	65	406385	432	531	340	444	126	7
1	2	20	66	406427	355	370	340	444	75	7
1	2	20	67	406467	282	272	340	444	181	7
1	2	20	68	406521	380	486	340	444	58	6
1	2	20	69	406572	318	430	340	444	26	6
1	2	20	70	406625	303	454	340	444	38	6
1	2	20	71	406667	366	509	340	444	70	6
1	2	20	72	406728	395	517	340	444	91	5
1	2	20	73	406771	438	460	340	444	99	5
1	2	20	74	406813	379	304	340	444	145	5
1	2	20	75	406854	333	452	340	444	10	5
1	2	20	76	407023	449	400	340	444	117	4
1	2	20	77	407067	479	364	340	444	160	4
1	2	20	78	407123	427	427	340	444	88	3
1	2	20	79	407168	427	431	340	444	87	3
1	2	20	80	407212	391	336	340	444	119	3
1	2	20	81	407253	346	496	340	444	52	3
1	2	20	82	407305	376	466	340	444	42	2
1	2	20	83	407347	506	460	340	444	166	2
1	2	20	84	407388	495	513	340	444	169	2
1	2	20	85	407430	411	545	340	444	123	2
1	2	20	86	407484	458	417	340	444	121	1
1	2	20	87	407527	336	491	340	444	47	1
1	2	20	88	407568	343	419	340	444	25	1
1	2	20	89	407609	319	522	340	444	80	1
